,descrizione,numero
428,"Laurea in filosofia, Laurea in giurisprudenza, Specializzazione all'insegnamento di storia e filosofia, Abilitazione all'insegnamento con gli studenti diversamente abili; Insegnante di scuola secondaria superiore (Diritto scolastico)",1
429,Laurea in pedagogia; assistente amministrativo,1
430,"Laurea in giurisprudenza;  Dirigente di partito, Tesoriera di Radicali Italiani e dell'associazione ""Nessuno tocchi Caino""",1
431,Diploma di liceo scientifico;,1
432,Licenza media inferiore; funzionario di partito,2
433,Laurea in giurisprudenza; imprenditore - settore turistico,1
434,"Manager nel campo della moda, Atleta paralimpica, Scrittrice, Conduttrice televisiva",1
435,"Laurea in architettura, Dottorato di ricerca in conservazione dei beni architettonici e ambientali; Ricercatore universitario",1
436,Avvocato,3
437,Diploma di maturita' classica; libera professionista,2
438,Laurea in matematica;  Insegnante di scuola secondaria inferiore,1
439,Laurea in lettere moderne indirizzo tecniche della comunicazione; Giornalista,1
440,Laurea in farmacia; farmacista,2
441,"Laurea in scienze politiche, Master affari politici italiani; Imprenditore",1
442,Laurea in lettere e filosofia; Addetto stampa,1
443,"Laurea in filosofia, Diploma di perfezionamento in storia contemporanea; Insegnante di scuola secondaria superiore",1
444,Laurea in pedagogia; specializzazione in mediazione familiarei,2
445,DIPLOMA DI CONSERVATORIO PIANOFORTE; IMPIEGATA,1
446,Laurea in scienze economiche;  Dirigente pubblico,1
447,Diploma di liceo classico; Assessore provinciale e regionale,1
448,Diploma di liceo classico; Dipendente Anci,1
449,Diploma dirigente comunità; Operatore sanitario,1
450,Laurea triennale in ingegneria gestionale; Impiegato,1
451,Laurea in lettere; insegnante.,53
452,Laurea in filologia moderna,1
453,Diploma di ragioniere; dipendente della Banca d'Italia,4
454,Diploma di liceo classico;  Funzionario provincia di Agrigento,1
455,Impiegata.,13
456,Laurea in ingegneria civile e ambientale; tecnico di laboratorio,1
457,Laurea in scienze della mediazione linguistica e culturale; Operatrice turistica,1
458,Laurea in lingue e letterature straniere; Insegnante di scuola secondaria superiore,3
459,Laurea in giurisprudenza;  Magistrato,1
460,Diploma di maturita' classica; docente,5
461,Laurea in scienze politiche;  Imprenditore,1
462,Diploma di istituto professionale per l'industria e l'artigianato; Coach formatrice,1
463,Laurea in scienze della comunicazione sociale e istituzionale;,1
464,Abilitazione alla professione di dottore commercialista; Funzionario tributario,1
465,"Laurea in scienze dell'economia e della gestione aziendale, Master I livello scienze tecniche della prevenzione e della sicurezza sul lavoro e ambiente",1
466,Diploma di liceo scientifico; Studente,1
467,Laurea in filosofia;  Insegnante di scuola secondaria superiore,1
468,Laurea in storia; Dottorato di ricerca,1
469,"Diploma di liceo classico;  Dirigente di partito, Assessora alle politiche sociali del comune di Venezia",1
470,Diploma di maturita' classica; impiegata,3
471,Laurea in lettere; insegnante,35
472,Diploma di istituto magistrale; Insegnante di scuola primaria,1
473,"Laurea in lettere classiche, Scuola di Specializzazione in Archeologia; Sindaco",1
474,"Diploma di liceo classico; Insegnante di scuola primaria, dirigente di partito",1
475,Laurea in filosofia; Dirigente di industria,1
476,"Licenza media superiore; imprenditore, sindacalista",2
477,"Laurea magistrale in scienze politiche e di governo, NBA Essential conseguito alla LSE; Segretaria metropolitana PD Milano",1
478,"Laurea in filosofia, Habilitation à diriger de recherches, Sorbona, Parigi, Dottorato di ricerca in filosofia alla Scuola Normale Superiore di Pisa; Professore ordinario di filosofia",1
479,Laurea in giurisprudenza; Avvocatessa,1
480,Laurea in giurisprudenza; docente universitario - professore ordinario,1
481,"Laurea in fisica, Dottorato di ricerca; Professore ordinario di ingegneria",1
482,"Laurea in economia bancaria, Dottorato di ricerca in scienze della formazione; Imprenditore",1
483,Laurea in economia e commercio;  Responsabile amministrativo,1
484,Medico specializzato in anestesia e rianimazione,1
485,"Laurea in giurisprudenza, dottorato di ricerca; Avvocato",1
486,Laurea in filosofia; Giornalista,1
487,Laurea in pedagogia; insegnante,9
488,"Laurea in medicina e chirurgia, Specializzazione in microchirurgia e chirurgia sperimentale; Medico chirurgo specialista",1
489,Impiegato,2
490,Laurea in lettere e filosofia;  Dipendente pubblico,1
491,"Laurea in lingue e letterature straniere (europee), Master in management e legislazione scolastica; Dirigente scolastico",1
492,Imprenditrice,1
493,Laurea in giurisprudenza; Docente di scuola superirore,1
494,"Laurea in filosofia, Dottorato di ricerca; Ricercatore",1
495,Laurea in archivistica e biblioteconomia; Libero professionista,1
496,Laurea in giurisprudenza,15
497,Laurea in scienze della pubblica amministrazione;  Imprenditore,1
498,"Diploma universitario di educazione fisica (ISEF), Abilitaz. insegnamento; Dip. Consiglio regionale della Lombardia, Struttura comunicazione e settore stampa, Membro dell'Associazione italiana della comunicazione pubblica e istituzionale",1
499,Laurea in lettere e filosofia; giornalista,2
500,Professore associato Universita' La Sapienza di Roma,1
501,"Laurea in Lettere e Filosofia, Dottorato di ricerca in Diritto Comparato; Giornalista",1
502,Laurea in economia aziendale; Imprenditore,2
503,Laurea in pedagogia;  Insegnante di scuola secondaria superiore in lettere e storia,1
504,Laurea in scienze politiche,4
505,"Laurea in farmacia, Dottorato di ricerca; Professore associato di Farmacologia",1
506,Impiegata,11
507,laurea in filosofia;impiegato pubblico,4
508,Laurea in scienze politiche; Impiegata con funzioni dirigenziali,1
509,Liceo classico; artista - attore,1
510,Laurea in lettere moderne; giornalista pubblicista,1
511,Laurea in giurisprudenza; Consulente assicurativo,1
512,Master in organizzazione aziendale; Quadro,1
513,Diploma di istituto tecnico commerciale; Membro della Direzione Nazionale di Radicali Italiani,1
514,Laurea in chimica e tecnologie farmaceutiche; Farmacista,1
515,Laurea in scienze agrarie; pubblicista,1
516,Diploma di liceo classico;  Funzionario ANCI regionale Veneto,1
517,Laurea in giurisprudenza; Giornalista professionista,1
518,laurea in economia e commercio;consulente aziendale tributarista,2
519,"Laurea in giurisprudenza, diploma di laurea interprete traduttore parlamentare; avvocato",2
520,Laurea in lettere; Funzionario parlamentare,1
521,Licenza media inferiore; impiegata,2
522,Istituto magistrale; imprenditore - settore alimentare,1
523,Laurea in lettere e filosofia; Insegnante di scuola secondaria superiore,1
524,Laurea in lettere e filosofia; funzionario di partito,4
525,Laurea in giurisprudenza; libero professionista,1
526,"Laurea in storia e filosofia, Dottorato di ricerca in storia e  informatica; Ricercatore universitario",1
527,Dipendente pubblico Amministrazione provinciale di Siena,1
528,"Avvocato civilista; 
Corso di perfezionamento A. Berliri in diritto tributario presso l'Università Alma Mater di Bologna; Corso di perfezionamento in diritto societario rilasciato dall'Università di Pavia facoltà di economia e commercio",1
529,Laurea in lettere moderne; imprenditore,1
530,"Laurea in medicina e chirurgia, Specializzazione in medicina legale",1
531,Laurea in Lettere Moderne,1
532,Laurea in lingue e letterature straniere (europee); Assistente di volo,1
533,Laurea in lettere moderne,3
534,Laurea in lingue e letterature straniere; dirigente di partito,1
535,"Laurea in giurisprudenza; Avvocato civilista, già Sindaco del Comune di Rocca San Casciano (FC) dal 2009 al 2019, Assessore alle Politiche sociali, famiglia, pace e diritti umani nel Comune di Forlì dal 2019",1
536,Laurea in giurisprudenza; avvocato civilista,1
537,Laurea magistrale in giurisprudenza (Uni Bologna); Laurea magistrale in Management of Human Resources and Labour Studies (Università Statale di Milano); Avvocato,1
538,Laurea in lettere - DAMS,1
539,"Laurea in giurisprudenza e in lettere antiche; avvocato, docente universitario",2
540,"Laurea in scienze dell'educazione; Insegnante di scuola primaria, Sindaco",1
541,Laurea in pedagogia;  Dipendente pubblico,1
542,Diploma di istituto magistrale con specializzazione in psicopedagogia; Dirigente sindacale europea,1
543,Laurea in giurisprudenza; Impiegata,1
544,Laurea in economia e commercio; docente di scuola media superiore,1
545,Laurea in informatica; Dirigente di azienda privata,1
546,Laurea in lettere moderne; Giornalista professionista,1
547,Laurea in giurisprudenza; Avvocato amministrativista,2
548,Laurea in scienze politiche; Dottorato di ricerca in economia del lavoro; Ricercatore,2
549,Laurea in lingue e civilta' orientali; giornalista professionista,2
550,Laurea in giurisprudenza; Direttore amministrativo del MIUR,1
551,Laurea in scienze biologiche,1
552,Laurea in filologia moderna; Grafico pubblicitario,1
553,Laurea in economia e commercio; Impiegato,1
554,Diploma di istituto tecnico commerciale; Imprenditrice del settore moda,1
555,Laurea in giurisprudenza; segretario regionale Emilia-Romagna del partito di Rifondazione comunista,1
556,Laurea in scienze politiche; Giornalista professionista,3
557,"Laurea in Scienze Politiche; Parlamentare, Presidente giuria Premio internazionale di poesia L'Aquila
",1
558,Parlamentare,3
559,"Laurea in giurisprudenza; Magistrato di appello, Magistrato presso la Commissione tributaria provinciale",1
560,Laurea in filosofia; Dipendente pubblico,1
561,Diploma di liceo classico; Dirigente di azienda privata,1
562,"Laurea in lettere classiche, Master Economia del Turismo; Master di II° livello in dirigenza per le scuole; Responsabile sistema qualità', Insegnante",1
563,Laurea in giurisprudenza; avvocato - patrocinante in cassazione,1
564,Laurea in scienze politiche; Bibliotecario,1
565,Laurea in biologia; biologa,1
566,Laurea in lingue e letterature straniere; interprete,1
567,"Laurea in giurisprudenza, Laurea in economia e commercio, Laurea magistrale in economia e legislazione d'impresa; Avvocato civilista",1
568,Istituto tecnico commerciale; libero professionista,2
569,"Laurea in medicina e chirurgia, Specializzazione in oculistica; Oculista",1
570,Laurea in pedagogia; funzionario di partito,2
571,"Laurea in scienze politiche, Master in formazione e gestione delle risorse umane; Consulente aziendale",1
572,Dottorato di ricerca,1
573,Laurea in scienze politiche; dipendente di azienda bancaria - impiegato,1
574,"Laurea in amministrazione, finanza e controllo aziendale; Dipendente di azienda privata, già sindaca di Torino",1
575,Laurea in lettere; giornalista.,5
576,Laurea in comunicazione nella società della globalizzazione; Consulente Senior per la comunicazione,1
577,Diploma di istituto tecnico commerciale; Assicuratore,1
578,Laurea in scienze dell'amministrazione; Impiegato,1
579,Laurea in matematica;  Preside,1
580,Laurea in scienze politiche e delle relazioni internazionali; Operatore sviluppo locale,1
581,Laurea in scienze internazionali e diplomatiche; già Presidente di consiglio comunale,1
582,Laurea in economia e commercio; Commercialista,3
583,DIPLOMA ACCADEMICO DIDATTICA DELLA MUSICA; Insegnante di scuola secondaria inferiore; Sindaco,1
584,Laurea in medicina e chirurgia; medico.,3
585,Laurea in giurisprudenza; Lavoratore autonomo,1
586,Diploma universitario ortofrenia e logopedia; pensionata,1
587,Diploma universitario di assistente sociale;  Assistente sociale,1
588,"Laurea in architettura, Master II livello in Gestione dell'Innovazione nella PMI",1
589,"Laurea in scienze e tecnologie alimentari, Master in Progettazione e Rendicontazione dei Fondi comunitari; Tecnologo alimentare",1
590,"Laurea in medicina e chirurgia, Specializzazione in radiologia; Primario ospedaliero",1
591,Laurea in giurisprudenza; Parlamentare,2
592,"Diploma di liceo classico, Diploma alla bottega teatrale di Firenze di VIttorio Gassman; Attrice di teatro",1
593,Laurea in giurisprudenza; Funzionaria Agenzie ONU; Parlamentare,1
594,Laurea in filosofia.,1
595,Laurea in lingue e letteratura; docente universitario,3
596,Laurea in lettere e filosofia; docente universitario,6
597,"Laurea in lettere moderne; giornalista pubblicista, scrittrice",3
598,Laurea in lettere; giornalista,3
599,Licenza media superiore; imprenditore,1
600,Dottorato di ricerca in diritto internazionale; Avvocato,1
601,Laurea in economia e commercio ambientale; Dipendente,1
602,Laurea in medicina e chirurgia;  Segretario di partito,1
603,Laurea in lettere moderne; pensionata,2
604,Laurea in architettura; docente,2
605,"Laurea in economia aziendale; Commercialista, Funzionario Formez",1
606,Laurea in lettere moderne; docente,1
607,Agricoltore.,1
608,Laurea in lettere; Operatore culturale,2
609,laurea in materie letterarie;insegnante di scuola media superiore,2
610,LAUREA IN LINGUAGGI DEI MEDIA; LAUREA IN POLITICHE EUROPEE E INTERNAZIONALI; Giornalista pubblicista,1
611,Laurea in filosofia; giornalista,3
612,"Laurea in filosofia, Master in ""Esperto in cultura di impresa"" conseguito presso la facoltà di Economia e commercio di Collescipoli (TR); Giornalista, Consulente in materia economica e finanziaria per il gruppo parlamentare FDI",1
613,"Laurea in lettere; Dirigente pubblico, Storico dell'arte direttore-coordinatore",1
614,Laurea in materie letterarie,1
615,"Laurea in scienze politiche;
 Imprenditore nel settore dell'innovazione digitale e sociale",1
616,"Laurea in medicina e chirurgia, Specializzazione in anestesiologia e rianimazione;  Medico, Specialista in Anestesia e Rianimazione",1
617,Diploma di liceo classico;  Direttore di quotidiano,1
618,"Operaia, funzionario di partito",1
619,"Laurea in giurisprudenza, Specializzazione in modelli extragiudiziali di composizione delle controversie (A.D.R.); Avvocato civilista e amministrativista, Professore associato di discipline giuridiche (diritto pubblico comparato)",1
620,Licenza media superiore; funzionario pubblico.,3
621,Laurea in giurisprudenza; Insegnante,1
622,Diploma di liceo classico; Studentessa universitaria,1
623,Laurea in giurisprudenza; giurista d'impresa - direttore legale di gruppi multinazionali,1
624,Diploma di liceo classico;  Dirigente di partito,1
625,Artigiano.,3
626,Laurea in mediazione linguistica culturale,2
627,Diploma di liceo classico; Libero professionista,4
628,"Laurea in scienze politiche, Dottorato di ricerca in economia; Parlamentare",1
629,Laurea in giurisprudenza;  Avvocato,5
630,"Laurea in lettere, Dottorato di ricerca; Giornalista",2
631,"Laurea in storia moderna, Dottorato di ricerca in storia; Ricercatrice in Storia medievale presso Università di Bologna",1
632,"Laurea in scienze politiche, Laurea in giurisprudenza;  Editorialista, Presidente dell'Associazione Rete Sociale del Partito Democratico",1
633,"Laurea in pianificazione territoriale, urbanistica ed ambientale; Urbanista",3
634,maturita' classica;studente universitario,1
635,Laurea in scienze politiche; Imprenditore,1
636,"Laurea in filosofia; insegnante, pubblicista.",2
637,"Laurea in lettere e filosofia; consulente accredito ONU economia, sociologia, sviluppo",2
638,Licenza media superiore; casalinga.,1
639,"Laurea in medicina e chirurgia, specializzazione in neurologia; Dirigente medico",1
640,Licenza media;  Operaio,1
641,Laurea in medicina e chirurgia: medico chirurgo,2
642,"Ricercatore universitario in sociologia politica, abilitato associato, specialista di conflitti internazionali e geopolitica, saggista",1
643,Laurea in scienze politiche; Sindacalista,1
644,"Laurea in lettere e filosofia a Oxford, Dottorato di ricerca alla London School of Economics, Master in politica europea a Sciences Po e London School of Economics; Direttrice delle pubbliche relazioni",1
645,Diploma di scuola magistrale;  Dirigente di partito,1
646,Laurea in lingue e letterature straniere; funzionario di partito.,4
647,Laurea in scienze politiche; Editorialista,1
648,Laurea in giurisprudenza;  Avvocato civilista,2
649,Laurea in lettere classiche; docente - scuola media superiore,1
650,Laurea in filosofia; Dirigente di azienda privata,1
651,Maturita' classica; imprenditrice,2
652,Laurea in scienze e tecnologie per l'ambiente e il territorio; Dipendente,1
653,Diploma istituto tecnico per il turismo; giornalista,2
654,"Licenza media superiore, assistente comunita' infantili; dirigente politico",2
655,Laurea in lettere moderne; Impiegato,1
656,Laurea in scienze economiche e finanziarie,1
657,"Laurea in lingue e commercio internazionale, Master in Studi Europei, Laurea magistrale in relazioni internazionali",1
658,Laurea in scienze politiche; Consulente aziendale,2
659,Diploma tecnico professionale computista commerciale; Giornalista pubblicista,1
660,"Laurea in lettere moderne, Dottorato di ricerca; Giornalista",1
661,Laurea in giurisprudenza; Libero professionista,1
662,Diploma in scienze infermieristiche;  Infermiera,1
663,Laurea in pedagogia; direttore didattico,5
664,Diploma di liceo linguistico; Presidente onorario Fondazione Craxi,1
665,Laurea in scienze politiche; Ricercatore universitario,1
666,Diploma di istituto tecnico femminile; Parlamentare,1
667,Laurea in pedagogia; Direttore generale della fondazione Cassa di risparmio di Torino,1
668,Laurea in scienze politiche; giornalista,2
669,Laurea in giurisprudenza; Prefetto,1
670,"Laurea in giurisprudenza, Master in analisi delle politiche pubbliche CORES Torino; Ricercatrice presso IRES Piemonte",1
671,maturita' classica;giornalista,3
672,Laurea in pedagogia; libero professionista,1
673,Licenza media inferiore,2
674,licenza media inferiore;dipendente di azienda privata,1
675,Laurea in scienze della pubblica amministrazione; Imprenditrice,1
676,Laurea in scienze statistiche; Impiegata,1
677,Laurea in lingue e letterature straniere; Imprenditore immobiliare,1
678,Laurea in giurisprudenza; giornalista.,4
679,Laurea in giurisprudenza; funzionario pubblico,3
680," Laurea in scienze politiche e scienze islamiche, Master in relazioni internazionali con focus su Medio Oriente, Caucaso e Asia centrale; Analista politica",1
681,Laurea in ingegneria gestionale; Dipendente di azienda privata,3
682,"Laurea in scienze politiche, Master in business administration",1
683,Dottorato di ricerca in economia; Ricercatrice,1
684,"Laurea in filosofia, pedagogia e psicologia, spec. in psicologia clinica; preside scuola media",3
685,Laurea in scienze dell'informazione; Imprenditore nel settore digital,1
686,Laurea in scienze economiche e commerciali; insegnante,2
687,Laurea in pedagogia; Dirigente scolastico,1
688,Laurea in medicina e chirurgia; neuroradiologo,2
689,"Laurea in scienze agrarie; Agronomo, Assessore cultura e turismo",1
690,Laurea in psicologia; Agente in attività finanziaria,1
691,Laurea in economia e commercio; Contabile,1
692,Avvocato penalista,1
693,Licenza media superiore; insegnante.,1
694,"Laurea in scienze della comunicazione; Comunicatore d'impresa, Autrice di testi televisivi",1
695,"Laurea in psicologia, Specializzazione in psicoterapia sistemico-relazionale e familiare; Master interuniversitario di II livello in organizzazione e funzionamento della pubblica amministrazione; Psicologa psicoterapeuta",1
696,Laurea in giurisprudenza;  Dirigente pubblico,1
697,Diploma di istituto tecnico commerciale; Agente di pubblica sicurezza,1
698,"Laurea in pianificazione territoriale, urbanistica ed ambientale;  Urbanista",1
699,Economia aziendale; Operatore economico,1
700,Laurea in lettere e in teologia; insegnante.,1
701,"Diploma di ragioniere e perito commerciale; Ragioniere, Perito commerciale",1
702,Laurea in scienze della comunicazione; Marketing e comunicazione,1
703,Laurea in scienze della pubblica amministrazione; Imprenditore,1
704,Medico veterinario,1
705,Laurea in lettere e filosofia; Addetto stampa &amp; public relation specialist,1
706,Licenza media superiore; bancaria.,2
707,Laurea in lettere e filosofia; Consiglio Nazionale delle Ricerche,1
708,Dottorato di ricerca in Pedagogia - Education; Professore ordinario di discipline pedagogiche,1
709,Diploma professionale dirigente di comunità; Consulente,1
710,"Diploma di istituto tecnico commerciale; Campionessa olimpica, Libero professionista, Dirigente sportivo",1
711,"Attrice, cantante",1
712,Laurea in scienze geologiche; Geologo,1
713,Liceo scientifico; funzionario di partito,1
714,Laurea in pedagogia; docente in lettere e storia,1
715,Diploma di ragioniere e perito commerciale; impiegata,2
716,Coordinatrice amministrativa Associazione Consumatori Codici Puglia,1
717,Diploma di liceo scientifico,5
718,"Laurea in scienze dell'educazione degli adulti e della formazione continua; 
Diploma di specializzazione biennale post-laurea in Metodologie didattiche sulla disabilità; Insegnante di scuola secondaria superiore",1
719,"Laurea in lingue e commercio internazionale, Master in Studi Europei, Laurea magistrale in relazioni internazionali; Studente",1
720,Licenza media inferiore; sindacalista,1
721,Dottorato di ricerca in economia politica; Professoressa ordinaria di scienza delle finanze,1
722,Laurea in filosofia; docente di liceo,4
723,Laurea in lettere e filosofia; insegnante.,11
724,DIPLOMA DI RAGIONERIA; IMPIEGATA AMMINISTRATIVA,1
725,"Laurea quinquennale in scienze della comunicazione con indirizzo comunicazione d'impresa, Master in comunicazione integrata d'impresa del Gruppo Sole 24 Ore; Institutional &amp; Regulatory Affairs per gruppo bancario",1
726,Laurea in scienze politiche;  Dirigente di partito,1
727,Diploma di liceo scientifico; Agente di assicurazione; Consulente finanziario,1
728,Laurea in architettura; Architetto,2
729,"Diploma di liceo scientifico, Master in commercio estero; Dipendente di azienda bancaria",1
730,Laurea in lettere classiche;  Insegnante di scuola secondaria superiore presso il liceo scientifico Galilei di Palermo,1
731,Laurea specialistica in Comunicazione d'impresa e pubblicità; Libero professionista,1
732,Diploma liceo scientifico; giornalista,1
733,Funzionario comunale,1
734,"Laurea in medicina e chirurgia; Primario UOC di odontoiatra, direttore dipartimento chirurgico azienda ospedaliera A.O. di Cosenza",1
735,Laurea in scienze della mediazione linguistica; Impiegato,1
736,Diploma di liceo scientifico; Impiegato,2
737,Laurea in lettere moderne.,1
738,Laurea in scienze politiche; Studentessa in relazioni e cooperazione internazionali,1
739,Educatrice e parlamentare,1
740,Laurea in giurisprudenza; Civilista specializzato in diritto del lavoro,1
741,Laurea in scienze della comunicazione; Collaboratore parlamentare presso l'assemblea regionale siciliana,1
742,Laurea in scienze dell'educazione; Educatrice,2
743,Diploma di istituto tecnico commerciale;  Imprenditore del marketing e della pubblicita',1
744,Licenza media superiore; ragioniere.,4
745,Laurea in filosofia; Editore,1
746,Laurea in Scienze Politiche e Sociali,1
747,"Laurea in filosofia teoretica, morale, politica ed estetica; Studente",1
748,Laurea in giurisprudenza; Avvocato civilista,12
749,Operaia,2
750,Laurea in giurisprudenza; Avvocato penalista,4
751,Laurea in scienze politiche; insegnante,4
752,"Laurea in lettere classiche, Dottorato di ricerca in filologia greca e latina; Insegnante",1
753,Laurea in architettura; impiegata,3
754,Laurea in scienze geologiche; geologo,2
755,Laurea in matematica; insegnante,2
756,Licenza elementare; funzionario di partito,1
757,"Laurea in medicina e chirurgia, Specializzazione in neurologia, Dottorato di ricerca in neuroscienze; Medico ospedaliero, Neurologo",1
758,Laurea in chimica industriale; Imprenditore agricolo,1
759,Dottore di ricerca,1
760,Diploma di liceo scientifico; Coltivatore diretto,1
761," Laurea in farmacia, Scuola di specializzazione scienze e tecniche cosmetiche; Farmacista titolare",1
762,Laurea in lettere moderne; Insegnante di scuola secondaria superiore,3
763,Laurea in economia; Dipendente di azienda privata,1
764,Licenza media superiore,12
765,Diploma di liceo scientifico; Dipendente,1
766,"Laurea in giurisprudenza, Scuola superiore di pubblica amministrazione, Master in organizzazione aziendale; Libero professionista",1
767,Laurea in scienze del turismo; Imprenditrice,1
768,Laurea in scienze politiche; Quadro Umana S.p.A.; Presidente Vetreria Salviati Srl; Past-president sezione vetro Confindustria Venezia-Rovigo; Consigliere di amministrazione Scuola Grande della Misericordia,1
769,Laurea specialistica in scienze politiche - relazioni internazionali; Consulente presso enti pubblici,1
770,"Diploma accademico in didattica della musica; Insegnante di scuola secondaria inferiore; Sindaco di Argentera (CN), comune montano a 1625 m s.l.m. al confine con il territorio francese",1
771,"Laurea in scienze dell'economia e della gestione aziendale, master I livello scienze tecniche della prevenzione e della sicurezza sul lavoro e ambiente",1
772,"Laurea in giurisprudenza, Abilitazione all'attività forense; Avvocato civilista",1
773,Maturita' classica; funzionario,2
774,Laurea in scienze giuridiche,1
775,"Laurea in giurisprudenza, Master; Insegnante di scuola secondaria superiore",1
776,Laurea in giurisprudenza.,4
777,Laurea in medicina veterinaria; veterinario,1
778,Laurea in sociologia; Assessore comunale,1
779,"Dottore di ricerca in diritto dei contratti, Avvocato",1
780,Diploma di liceo scientifico; Imprenditore immobiliare,1
781,Laurea in lettere; direttore didattico,2
782,"Laurea in giurisprudenza, indirizzo giuridico-amministrativo",1
783,Laurea in medicina e chirugia; medico chirurgo,2
784,"Diploma di istituto magistrale, laureanda in giurisprudenza; Imprenditore",1
785,Diploma di maturita' classica; funzionario di partito,3
786,Laurea in scienze biologiche;  Insegnante di ruolo di scuola secondaria superiore,1
787,Laurea in lettere; docente universitario,3
788,Laurea in medicina e chirurgia; medico ematologo,2
789,Diploma di istituto tecnico commerciale; funzionaria di partito,3
790,"Laurea in scienze geologiche;  Insegnante di scuola secondaria inferiore, Presidente di provincia per due mandati",1
791,"Laurea in medicina e chirurgia, Specializzazione in medicina legale; Medico legale",1
792,Licenza media superiore; impiegata,10
793,Laurea in giurisprudenza; Avvocato civilista specializzato in diritto bancario e internazionale,1
794,Laurea in medicina e chirurgia,4
795,"Laurea in economia bancaria, dottorato di ricerca in Scienze della formazione; Imprenditore, Professore universitario",1
796,"Laurea in lettere classiche, Scuola di specializzazione per l'insegnamento presso Università di Milano; Insegnante di scuola secondaria inferiore",1
797,Laurea in chimica.,4
798,Liceo linguistico; attività nell'ambito di un'associazione - Presidente,1
799,Diploma di istituto tecnico commerciale; Responsabile zonale di patronato,1
800,Laurea in matematica; insegnante di matematica e scienze,1
801,"Laurea in psicologia, Specializzazione in psicoterapia sistemico-relazionale e familiare, Master interuniversitario di II livello in organizzazione e funzionamento della pubblica amministrazione; Psicologa, Psicoterapeuta",1
802,Laurea in lingue e letterature straniere; Dirigente sindacale,1
803,Diploma di liceo classico; Dirigente di partito,2
804,"Laurea in lettere, diploma ISEF; docente scuola media superiore",4
805,"Giornalista, pubblicista",1
806,"Diploma di accademia di belle arti; Impreditore nel settore dell'elettronica
",1
807,Sarta.,1
808,Laurea in infermieristica; Libero professionista,1
809,Laurea in architettura;  Architetto,1
810,Laurea in biologia; insegnante,1
811,Laurea in comunicazione pubblica e di impresa,1
812,Diploma di scuola universitaria per assistenti sociali; operatrice sociale,3
813,"Laurea in medicina e chirurgia, Specializzazione in radiologia; Radiologo, Neuroradiologo",1
814,"Laurea in economia e commercio, Master of management in the Network Economy - MiNE; Consulente in finanziamenti Europei per la ricerca e l'innovazione",1
815,"Laurea in storia moderna, dottorato di ricerca in storia e informatica; ricercatore universitario in storia medievale",1
816,Dirigente di partito,1
817,PHD in matematica; Professoressa associata di analisi matematica,1
818,Diploma di liceo artistico; Attrice,1
819,Laurea in giurisprudenza; funzionario pubblico.,1
820,Laurea in scienze agrarie,1
821,"Laurea in giurisprudenza, Master di II livello in politiche di pace e cooperazione allo sviluppo nell'area del mediterraneo; Avvocato",1
822,Laurea in filosofia e pedagogia; insegnante.,2
823,Laurea in architettura; architetto,2
824,"Laurea in economia e commercio; Dottore commercialista, Insegnante di scuola secondaria superiore",1
825,Diploma di istituto tecnico commerciale;  Pensionato,1
826,"Istituto tecnico commerciale, ragioniere e perito; artigiana",2
827,Laurea in lettere classiche;  Professore ordinario di lettere,1
828,"Laurea in medicina e chirurgia, Specializzazione in Anatomia Patologica; Professore ordinario di medicina",1
829,Laurea in letterature e lingue straniere; insegnante.,4
830,LAUREA IN SCIENZE STRATEGICHE E GIURIDICHE; Dipendente pubblico,1
831,Laurea in giurisprudenza; insegnante.,1
