,descrizione,numero
103,Laurea in Giurisprudenza; Professore ordinario di Diritto Processuale Penale Università degli Studi di Roma -Tor Vergata,1
104,"Laurea in scienze politiche,  Master in management di progetti comunitari; Operatrice sociale, Impiegata con funzioni dirigenziali",1
105,Licenza media;  Pensionato,1
106,Laurea in scienze geologiche; attività nell'ambito di un'associazione,1
107,"Laurea in medicina e chirurgia, Specializzazione in neuropsichiatria infantile; Professore ordinario di storia della medicina",1
108,Licenza istituto tecnico commerciale; artigiano,1
109,Diploma di istituto tecnico commerciale;  Amministratore locale,1
110,Laurea in lettere e filosofia;  Dirigente di partito,1
111,"Laurea in giurisprudenza, diploma di specializzazione in comunicazione di impresa ed istituzionale; consulente di comunicazione",1
112,"Laurea in economia bancaria, Dottorato di ricerca in scienze della formazione;  Imprenditore",1
113,"Laurea in medicina e chirurgia, Specializzazione in odontostomatologia, Specializzazione in ortognatodonzia; Libero professionista",1
114,Laurea in lettere classiche; Insegnante di scuola secondaria superiore,3
115,Laurea in farmacia;  Farmacista,1
116,Perito aziendale corrispondente lingue estere; Libero professionista,1
117,"Master in strategic design, LAUREA MAGISTRALE IN SERVICE DESIGN; Parlamentare",1
118,"Laurea in lettere classiche, Corso di perfezionamento in economia del turismo, Master in dirigenza per le scuole;  Dirigente scolastico; Presidente Commissione Equality and Non Discrimination del Consiglio d'Europa",1
119,Liceo socio-psicopedagogico; Impiegata,1
120,Diploma - Istituto tecnico commerciale; Campionessa olimpica - Dirigente sportivo internazionale - Libero professionista,1
121,Educatrice,1
122,Laurea in biologia; Consigliere regionale,1
123,Laurea in scienze politiche; imprenditrice,2
124,Licenza media superiore.,1
125,Pubblicista.,5
126,Licenza media superiore; funzionario di partito.,14
127,"Liceo artistico, accademia internazionale dell'attore; attrice",1
128,Diploma di istituto tecnico commerciale; amministratore comunale,1
129,Diploma di istituto professionale per i servizi alberghieri e ristorazione; Operaio,1
130,Laurea in matematica; pensionata,1
131,Diploma di scuola superiore,1
132,Laurea in conservatorio (pianoforte); Insegnante di musica,2
133,"Perito aziendale corrispondente in lingue estere; Imprenditore del settore dei trasporti spedizioni internazionali terrestri, marittimi, aerei e logistica",1
134,Laurea in giurisprudenza; funzionario di azienda bancaria,1
135,Ragioniera; imprenditrice settore moda,1
136,Laurea in chimica e tecnologie farmaceutiche; farmacista,1
137,Laurea in lettere e filosofia; funzionario pubblico,5
138,Laurea in giurisprudenza; insegnante scuola media superiore,1
139,Laurea in architettura; Istruttore tecnico,1
140,Laurea in lingue e letterature straniere;  Giornalista professionista,1
141,Laurea in sociologia; Insegnante di scuola secondaria superiore,1
142,"Laurea in lettere e filosofia; pensionata, giornalista",1
143,Laurea in lettere e filosofia; docente,2
144,"Diploma di liceo scientifico;  Assessore comunale, Consulente",1
145,"Laurea in chimica e tecnologia farmaceutiche, Laurea in tecniche della prevenzione nell'ambiente e nei luoghi di lavoro; Libero professionista",1
146,Laurea in architettura; funzionario pubblico,2
147,Laurea in lingue e letterature straniere; attivita' nell'ambito di partito politico,7
148,"Laurea in giurisprudenza, Scuola di specializzazione per le professioni legali, Master in politiche di sicurezza locali; Avvocato",1
149,Laurea in economia e commercio; Dipendente pubblico,1
150,laurea in lettere;educatrice,3
151,Laurea in giurisprudenza; Dipendente pubblico,1
152,Laurea in medicina e chirurgia; medico ospedaliero,1
153,Laurea in lettere; archeologa,1
154,Laurea in scienze politiche; Master affari politici italiani,1
155,Licenza media superiore; insegnante,6
156,"Laurea in scienze politiche, Specializzazione in diritto del lavoro e della sicurezza sociale; Docente di discipline giuridiche ed economiche",1
157,Dirigente di azienda privata; Produttore televisivo e cinematografico,1
158,Diploma di istituto tecnico commerciale; Imprenditore del settore dei servizi,2
159,Laurea in scienze motorie e specializzazione in scienze e tecniche delle attività preventive e adattate;  Insegnante di scuola secondaria superiore,1
160,"Laurea in giurisprudenza, Master in diritto ambientale, Corso di perfezionamento di tutela dei diritti dinnazi alla Corte di giustizia europea, Corso di perfezionamento in diritto d'impresa; Avvocato specializzato in diritto dell'Ue.",1
161,Laurea in filosofia; pensionata,1
162,Laurea in economia e commercio; Abilitazione alla professione di Dottore commercialista; Funzionario tributario,1
163,"Laurea in lettere; Storico dell'Arte, Direttore coordinatore",1
164,Diploma di istituto tecnico commerciale; dipendente di azienda privata,1
165,Laurea in giurisprudenza;   Consulente legale,1
166,Laurea in giurisprudenza; Avvocato civilista specializzato in diritto societario e bancario,1
167,Laurea in filosofia; ricercatore universitario,3
168,"Laurea in medicina e chirurgia, Specializzazione in reumatologia; MMG",1
169,Funzionario Regione Sardegna,1
170,Licenza media; Operaia in pensione,1
171,Laurea in lingue e letterature straniere; insegnante,2
172,Laurea in scienze della formazione; Insegnante di scuola primaria,1
173,Magistero; impiegata,2
174,Laurea in giurisprudenza; magistrato,5
175,Laurea in scienze biologiche; docente - scuola media superiore - presidente del Forum delle Associazioni familiari,1
176,Diploma di segretaria d'azienda; dirigente di azienda privata,2
177,Laurea in giurisprudenza; avvocato,16
178,"Laurea in filosofia, Dottorato di ricerca;  Ricercatore",1
179,"Diploma di qualifica di istituto professionale per il commercio, indirizzo analista contabile; Responsabile acquisti settore trasporti",1
180,"Licenza media superiore; pensionata, pubblicista",1
181,Operatore di sistemi informatici; Presidente nazionale CONFAVI; Segretario generale della Fondazione per la cultura rurale-ONLUS,1
182,Laurea in giurisprudenza; docente nella scuola media superiore,3
183,"Laurea in lettere e filosofia, Corso di perfezionamento in storia medievale e moderna, Dottorato di ricerca in pedagogia; Professore ordinario di discipline pedagogiche",1
184,Laurea in scienze politiche;  Imprenditore del settore alimentare,1
185,Licenza media; Imprenditore del settore agroalimentare,1
186,Attrice,1
187,Diploma di liceo classico; Dirigente politico,1
188,Diploma di istituto tecnico femminile; Pensionata,1
189,Laurea in medicina e chirurgia; psichiatra,1
190,"Laurea in giurisprudenza, Laurea in Management of human resoruces and labour studies; Avvocato",1
191,Diploma di liceo linguistico; Vice Presidente della Regione Lombardia,1
