Governo,Ministro,nome,cognome,gender
I Governo Renzi,Vice Ministro dell'Economia e delle finanze,LUIGI,CASERO,male
I Governo Renzi,Vice ministro della giustizia,ENRICO,COSTA,male
I Governo Renzi,Vice ministro dello sviluppo economico,CLAUDIO,DE VINCENTI,male
I Governo Renzi,Vice ministro dello sviluppo economico,CARLO,CALENDA,male
I Governo Renzi,Vice ministro degli affari esteri,LAPO,PISTELLI,male
I Governo Renzi,Vice Ministro dell'Interno,FILIPPO,BUBBICO,male
I Governo Renzi,Ministro degli Affari esteri e della cooperazione internazionale,FEDERICA,MOGHERINI,female
IV Governo Fanfani,Ministro del Tesoro,ROBERTO,TREMELLONI,male
V Governo De Gasperi,Ministro senza Portafoglio,ROBERTO,TREMELLONI,male
II Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,EZIO,VIGORELLI,male
II Governo Fanfani,Ministro dell'Interno,FERDINANDO,TAMBRONI ARMAROLI,male
II Governo Segni,Ministro del Bilancio,FERDINANDO,TAMBRONI ARMAROLI,male
II Governo Segni,Ministro del Tesoro,FERDINANDO,TAMBRONI ARMAROLI,male
I Governo Tambroni,Ministro del Bilancio,FERDINANDO,TAMBRONI ARMAROLI,male
I Governo Tambroni,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,male
III Governo Fanfani,Ministro del Commercio con l'Estero,MARIO,MARTINELLI,male
I Governo Leone,Ministro delle Finanze,MARIO,MARTINELLI,male
III Governo Fanfani,Ministro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,male
IV Governo Fanfani,MInistro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,male
I Governo Leone,Ministro senza Portafoglio,GIUSEPPE,CODACCI PISANELLI,male
II Governo Fanfani,Ministro del Commercio con l'Estero,EMILIO,COLOMBO,male
II Governo Segni,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male
I Governo Tambroni,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male
III Governo Fanfani,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male
IV Governo Fanfani,Ministro dell'Industria e Commercio,EMILIO,COLOMBO,male
I Governo Leone,Ministro del Tesoro,EMILIO,COLOMBO,male
I Governo Leone,Ministro del Lavoro e della Previdenza Sociale,UMBERTO,DELLE FAVE,male
II Governo Fanfani,Ministro delle Partecipazioni Statali,EDGARDO,LAMI STARNUTI,male
II Governo Segni,Ministro degli Affari Esteri,GIUSEPPE,PELLA,male
III Governo Fanfani,Ministro del Bilancio,GIUSEPPE,PELLA,male
V Governo De Gasperi,Ministro del Bilancio,GIUSEPPE,PELLA,male
V Governo De Gasperi,Ministro del Tesoro,GIUSEPPE,PELLA,male
II Governo Fanfani,Ministro degli Affari Esteri,AMINTORE,FANFANI,male
IV Governo Fanfani,Ministro degli Affari Esteri,AMINTORE,FANFANI,male
V Governo De Gasperi,Ministro del Lavoro e della Previdenza Sociale,AMINTORE,FANFANI,male
II Governo Fanfani,Ministro dell'Agricoltura e Foreste,MARIO,FERRARI AGGRADI,male
II Governo Segni,Ministro delle Partecipazioni Statali,MARIO,FERRARI AGGRADI,male
I Governo Tambroni,Ministro dei Trasporti,MARIO,FERRARI AGGRADI,male
I Governo Tambroni,MInistro delle Partecipazioni Statali,MARIO,FERRARI AGGRADI,male
IV Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,VIRGINIO,BERTINELLI,male
I Governo Renzi,Ministro dei Beni e delle attività culturali e del turismo,DARIO,FRANCESCHINI,male
I Governo Renzi,Ministro della Difesa,ROBERTA,PINOTTI,female
I Governo Renzi,Ministro dell'Interno,ANGELINO,ALFANO,male
I Governo Renzi,Ministro delle Infrastrutture e dei trasporti,MAURIZIO ENZO,LUPI,male
IV Governo Fanfani,Ministro delle Poste e Telecomunicazioni,GUIDO,CORBELLINI,male
V Governo De Gasperi,Ministro dei Trasporti,GUIDO,CORBELLINI,male
V Governo De Gasperi,Ministro della Marina Mercantile,GUIDO,CORBELLINI,male
IV Governo Fanfani,MInistro senza Portafoglio,GUIDO,CORBELLINI,male
II Governo Fanfani,Ministro del Bilancio,GIUSEPPE,MEDICI,male
II Governo Segni,Ministro della Pubblica Istruzione,GIUSEPPE,MEDICI,male
I Governo Tambroni,Ministro della Pubblica Istruzione,GIUSEPPE,MEDICI,male
IV Governo Fanfani,MInistro senza Portafoglio,GIUSEPPE,MEDICI,male
II Governo Fanfani,Ministro della Sanità,VINCENZO,MONALDI,male
III Governo Fanfani,Ministro delle Poste e Telecomunicazioni,LORENZO,SPALLINO,male
IV Governo Fanfani,Ministro delle Poste e Telecomunicazioni,LORENZO,SPALLINO,male
III Governo Fanfani,Ministro della Pubblica Istruzione,GIACINTO,BOSCO,male
IV Governo Fanfani,Ministro di Grazia e Giustizia,GIACINTO,BOSCO,male
II Governo Segni,Ministro della Sanità,CAMILLO,GIARDINA,male
I Governo Tambroni,Ministro della Sanità,CAMILLO,GIARDINA,male
III Governo Fanfani,Ministro della Sanità,CAMILLO,GIARDINA,male
II Governo Fanfani,Ministro senza Portafoglio,CAMILLO,GIARDINA,male
II Governo Fanfani,Ministro dell'Industria e Commercio,GIORGIO,BO,male
III Governo Fanfani,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
IV Governo Fanfani,Ministro delle Partecipazioni Statali,GIORGIO,BO,male
II Governo Segni,Ministro senza Portafoglio,GIORGIO,BO,male
I Governo Tambroni,Ministro senza Portafoglio,GIORGIO,BO,male
I Governo Tambroni,Ministro delle Finanze,GIUSEPPE,TRABUCCHI,male
III Governo Fanfani,Ministro delle Finanze,GIUSEPPE,TRABUCCHI,male
IV Governo Fanfani,Ministro delle Finanze,GIUSEPPE,TRABUCCHI,male
I Governo Renzi,Ministro della Giustizia,ANDREA,ORLANDO,male
I Governo Renzi,Ministro dell'Ambiente e della tutela del territorio e del mare,GIAN LUCA,GALLETTI,male
I Governo Renzi,Ministro della Salute,BEATRICE,LORENZIN,female
I Governo Renzi,Ministro per la Semplificazione e la pubblica amministrazione,MARIA ANNA,MADIA,female
I Governo Renzi,Ministro degli Affari esteri,FEDERICA,MOGHERINI,female
I Governo Renzi,Ministro per le Riforme costituzionali e i rapporti con il Parlamento,MARIA ELENA,BOSCHI,female
I Governo Renzi,"Ministro dell'Istruzione, dell'università e della ricerca",STEFANIA,GIANNINI,female
I Governo Renzi,Ministro delle Politiche agricole alimentari e forestali,MAURIZIO,MARTINA,male
I Governo Renzi,Ministro dell'Economia e delle finanze,PIETRO CARLO,PADOAN,male
I Governo Renzi,Ministro dello Sviluppo economico,FEDERICA,GUIDI,female
I Governo Renzi,Ministro del Lavoro e delle politiche sociali,GIULIANO,POLETTI,male
I Governo Renzi,Ministro senza portafoglio per gli affari regionali,MARIA CARMELA,LANZETTA,female
IV Governo Fanfani,Ministro della Pubblica Istruzione,LUIGI,GUI,male
II Governo Fanfani,Ministro della Pubblica Istruzione,ALDO,MORO,male
II Governo Fanfani,Ministro delle Finanze,LUIGI,PRETI,male
IV Governo Fanfani,Ministro del Commercio con l'Estero,LUIGI,PRETI,male
II Governo Segni,Ministro dell'Agricoltura e Foreste,MARIANO,RUMOR,male
I Governo Tambroni,Ministro dell'Agricoltura e Foreste,MARIANO,RUMOR,male
III Governo Fanfani,Ministro dell'Agricoltura e Foreste,MARIANO,RUMOR,male
IV Governo Fanfani,Ministro dell'Agricoltura e Foreste,MARIANO,RUMOR,male
IV Governo Fanfani,Ministro delle Poste e Telecomunicazioni,CARLO,RUSSO,male
I Governo Tambroni,Ministro dei Trasporti,FIORENTINO,SULLO,male
III Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,FIORENTINO,SULLO,male
IV Governo Fanfani,Ministro dei Lavori Pubblici,FIORENTINO,SULLO,male
II Governo Segni,Ministro del Lavoro e della Previdenza Sociale,BENIGNO,ZACCAGNINI,male
I Governo Tambroni,Ministro del Lavoro e della Previdenza Sociale,BENIGNO,ZACCAGNINI,male
III Governo Fanfani,Ministro dei Lavori Pubblici,BENIGNO,ZACCAGNINI,male
II Governo Segni,Ministro del Commercio con l'Estero,RINALDO,DEL BO,male
II Governo Fanfani,Ministro senza Portafoglio,RINALDO,DEL BO,male
III Governo Fanfani,Ministro del Turismo e Spettacolo,ALBERTO,FOLCHI,male
IV Governo Fanfani,Ministro del Turismo e Spettacolo,ALBERTO,FOLCHI,male
V Governo De Gasperi,Ministro della Difesa,RANDOLFO,PACCIARDI,male
I Governo Renzi,Ministro delle Infrastrutture e dei trasporti,MATTEO,RENZI,male
I Governo Renzi,Ministro senza portafoglio,ENRICO,COSTA,male
I Governo Renzi,Ministro dello sviluppo economico,MATTEO,RENZI,male
I Governo Renzi,Vice Ministro dell'Economia e delle finanze,ENRICO,ZANETTI,male
I Governo Renzi,Ministro senza portafoglio per gli affari regionali e per le autonomie,MARIA CARMELA,LANZETTA,female
I Governo Renzi,Vice Ministro dello Sviluppo economico,TERESA,BELLANOVA,female
I Governo Renzi,Vice Ministro degli Affari esteri e della cooperazione internazionale,MARIO,GIRO,male
I Governo Renzi,Ministro degli Affari esteri e della cooperazione internazionale,PAOLO,GENTILONI SILVERI,male
I Governo Renzi,Ministro delle Infrastrutture e dei trasporti,GRAZIANO,DELRIO,male
I Governo Renzi,Ministro per gli Affari regionali e le autonomie,ENRICO,COSTA,male
I Governo Renzi,Ministro dello Sviluppo economico,CARLO,CALENDA,male
I Governo Moro,Ministro del Commercio con l'Estero,BERNARDO,MATTARELLA,male
II Governo Moro,Ministro del Commercio con l'Estero,BERNARDO,MATTARELLA,male
I Governo Moro,Ministro senza Portafoglio,GIULIO,PASTORE,male
II Governo Moro,Ministro senza Portafoglio,GIULIO,PASTORE,male
III Governo Moro,Ministro senza Portafoglio,GIULIO,PASTORE,male
VI Governo De Gasperi,Ministro della Marina Mercantile,ALBERTO,SIMONINI,male
VI Governo De Gasperi,Ministro dell'Africa Italiana,ALCIDE,DE GASPERI,male
II Governo Leone,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
VI Governo De Gasperi,Ministro della Pubblica Istruzione,GUIDO,GONELLA,male
I Governo Moro,Ministro dei Trasporti e dell'Aviazione Civile,ANGELO RAFFAELE,JERVOLINO,male
II Governo Moro,Ministro dei Trasporti e dell'Aviazione Civile,ANGELO RAFFAELE,JERVOLINO,male
I Governo Rumor,Ministro degli Affari Esteri,PIETRO,NENNI,male
I Governo Moro,Ministro senza Portafoglio,PIETRO,NENNI,male
II Governo Moro,Ministro senza Portafoglio,PIETRO,NENNI,male
III Governo Moro,Ministro senza Portafoglio,PIETRO,NENNI,male
VI Governo De Gasperi,Ministro di Grazia e Giustizia,ATTILIO,PICCIONI,male
