Governo,Ministro,nome,cognome,gender
II Governo Moro,Ministro della Sanità,LUIGI,MARIOTTI,male
III Governo Moro,Ministro della Sanità,LUIGI,MARIOTTI,male
I Governo Rumor,Ministro dei Trasporti e dell'Aviazione civile,LUIGI,MARIOTTI,male
II Governo Moro,Ministro degli Affari Esteri,ALDO,MORO,male
III Governo Moro,Ministro della Marina Mercantile,LORENZO,NATALI PIERUCCI BONDI,male
II Governo Leone,Ministro dei Lavori Pubblici,LORENZO,NATALI PIERUCCI BONDI,male
I Governo Rumor,Ministro del Turismo e Spettacolo,LORENZO,NATALI PIERUCCI BONDI,male
III Governo Moro,Ministro delle Finanze,LUIGI,PRETI,male
I Governo Rumor,Ministro del Bilancio,LUIGI,PRETI,male
I Governo Moro,Ministro senza Portafoglio,LUIGI,PRETI,male
II Governo Moro,Ministro senza Portafoglio,LUIGI,PRETI,male
I Governo Leone,Ministro dell'Interno,MARIANO,RUMOR,male
I Governo Leone,Ministro delle Poste e Telecomunicazioni,CARLO,RUSSO,male
I Governo Moro,Ministro delle Poste e Telecomunicazioni,CARLO,RUSSO,male
II Governo Moro,Ministro delle Poste e Telecomunicazioni,CARLO,RUSSO,male
II Governo Leone,Ministro del Commercio con l'Estero,CARLO,RUSSO,male
I Governo Rumor,Ministro senza Portafoglio,CARLO,RUSSO,male
II Governo Leone,Ministro dell'Agricoltura e Foreste,GIACOMO,SEDATI,male
I Governo Leone,Ministro dei Lavori Pubblici,FIORENTINO,SULLO,male
I Governo Rumor,MInistro della Pubblica Istruzione,FIORENTINO,SULLO,male
I Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",MARIO,TANASSI,male
III Governo Moro,Ministro dei Trasporti e dell'Aviazione Civile,OSCAR LUIGI,SCALFARO,male
II Governo Leone,Ministro dei Trasporti e dell'Aviazione civile,OSCAR LUIGI,SCALFARO,male
I Governo Leone,Ministro del Turismo e Spettacolo,ALBERTO,FOLCHI,male
I Governo Rumor,Ministro delle Poste e Telecomunicazioni,CRESCENZO,MAZZA,male
II Governo Leone,Ministro senza Portafoglio,CRESCENZO,MAZZA,male
I Governo Rumor,Ministro senza Portafoglio,CRESCENZO,MAZZA,male
VI Governo De Gasperi,Ministro della Difesa,RANDOLFO,PACCIARDI,male
II Governo Andreotti,Ministro dei Trasporti e dell'Aviazione civile,ALDO,BOZZI,male
I Governo Andreotti,Ministro della Marina Mercantile,GENNARO,CASSIANI,male
I Governo Andreotti,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
II Governo Andreotti,Ministro di Grazia e Giustizia,GUIDO,GONELLA,male
I Governo Andreotti,Ministro delle Partecipazioni Statali,GIULIO,ANDREOTTI,male
V Governo Rumor,Ministro della Difesa,GIULIO,ANDREOTTI,male
I Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,PAOLO EMILIO,TAVIANI,male
II Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,PAOLO EMILIO,TAVIANI,male
IV Governo Rumor,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,male
V Governo Rumor,Ministro dell'Interno,PAOLO EMILIO,TAVIANI,male
III Governo Rumor,Ministro senza Portafoglio,PAOLO EMILIO,TAVIANI,male
I Governo Colombo,Ministro senza Portafoglio,PAOLO EMILIO,TAVIANI,male
IV Governo Rumor,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,TOGNI,male
V Governo Rumor,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,TOGNI,male
IV Governo Rumor,Ministro del Tesoro,UGO,LA MALFA,male
III Governo Rumor,Ministro del Turismo e Spettacolo,GIUSEPPE,LUPIS,male
II Governo Andreotti,Ministro della Marina Mercantile,GIUSEPPE,LUPIS,male
I Governo Colombo,Ministro senza Portafoglio,GIUSEPPE,LUPIS,male
IV Governo Rumor,Ministro senza Portafoglio,GIUSEPPE,LUPIS,male
V Governo Rumor,Ministro senza Portafoglio,GIUSEPPE,LUPIS,male
III Governo Rumor,Ministro di Grazia e Giustizia,ORONZO,REALE,male
I Governo Colombo,Ministro di Grazia e Giustizia,ORONZO,REALE,male
IV Governo Rumor,MInistro senza Portafoglio,PIETRO,BUCALOSSI,male
I Governo Andreotti,Ministro senza Portafoglio,ITALO GIULIO,CAIATI,male
II Governo Andreotti,MInistro senza Portafoglio,ITALO GIULIO,CAIATI,male
III Governo Rumor,MInistro dell'Interno,FRANCESCO,RESTIVO,male
I Governo Colombo,Ministro dell'Interno,FRANCESCO,RESTIVO,male
I Governo Andreotti,Ministro della Difesa,FRANCESCO,RESTIVO,male
III Governo Rumor,Ministro del Tesoro,EMILIO,COLOMBO,male
I Governo Colombo,Ministro di Grazia e Giustizia,EMILIO,COLOMBO,male
I Governo Andreotti,Ministro del Tesoro,EMILIO,COLOMBO,male
IV Governo Rumor,Ministro delle Finanze,EMILIO,COLOMBO,male
V Governo Rumor,Ministro del Tesoro,EMILIO,COLOMBO,male
II Governo Andreotti,Ministro senza Portafoglio,EMILIO,COLOMBO,male
IV Governo Rumor,Ministro senza Portafoglio,ACHILLE,CORONA,male
III Governo Rumor,Ministro senza Portafoglio,EUGENIO,GATTO,male
I Governo Colombo,Ministro senza Portafoglio,EUGENIO,GATTO,male
I Governo Andreotti,Ministro senza Portafoglio,EUGENIO,GATTO,male
I Governo Andreotti,Ministro delle Finanze,GIUSEPPE,PELLA,male
IV Governo Rumor,Ministro della Marina Mercantile,GIOVANNI,PIERACCINI,male
V Governo Rumor,Ministro senza Portafoglio,GIOVANNI,PIERACCINI,male
I Governo Andreotti,MInistro del Commercio con l'Estero,CAMILLO,RIPAMONTI,male
V Governo Rumor,Ministro del Turismo e Spettacolo,CAMILLO,RIPAMONTI,male
III Governo Rumor,Ministro senza Portafoglio,CAMILLO,RIPAMONTI,male
I Governo Colombo,Ministro senza Portafoglio,CAMILLO,RIPAMONTI,male
IV Governo Rumor,MInistro senza Portafoglio,CAMILLO,RIPAMONTI,male
I Governo Andreotti,Ministro del Turismo e Spettacolo,GIOVANNI BATTISTA,SCAGLIA,male
V Governo Rumor,Ministro della Sanità,VITTORINO,COLOMBO,male
III Governo Rumor,Ministro senza Portafoglio,FRANCESCO,DE MARTINO,male
I Governo Colombo,Ministro senza Portafoglio,FRANCESCO,DE MARTINO,male
III Governo Rumor,MInistro delle Partecipazioni Statali,FLAMINIO,PICCOLI,male
I Governo Colombo,Ministro delle Partecipazioni Statali,FLAMINIO,PICCOLI,male
I Governo Andreotti,Ministro delle Partecipazioni Statali,FLAMINIO,PICCOLI,male
IV Governo Rumor,Ministro senza Portafoglio,MARIO,TOROS,male
V Governo Rumor,Ministro senza Portafoglio,MARIO,TOROS,male
I Governo Andreotti,Ministro della Sanità,ATHOS,VALSECCHI,male
II Governo Andreotti,Ministro delle Finanze,ATHOS,VALSECCHI,male
IV Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",LUIGI CIRIACO,DE MITA,male
V Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",LUIGI CIRIACO,DE MITA,male
III Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,male
I Governo Colombo,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,male
I Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,CARLO,DONAT CATTIN,male
IV Governo Rumor,Ministro senza Portafoglio,CARLO,DONAT CATTIN,male
I Governo Colombo,MInistro del Tesoro,MARIO,FERRARI AGGRADI,male
I Governo Andreotti,Ministro dei Lavori Pubblici,MARIO,FERRARI AGGRADI,male
II Governo Andreotti,Ministro delle Partecipazioni Statali,MARIO,FERRARI AGGRADI,male
IV Governo Rumor,Ministro dell'Agricoltura e Foreste,MARIO,FERRARI AGGRADI,male
III Governo Rumor,Ministro senza Portafoglio,MARIO,FERRARI AGGRADI,male
II Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",MAURO,FERRI,male
III Governo Rumor,Ministro della Marina Mercantile,SALVATORE,MANNIRONI,male
I Governo Colombo,Ministro della Marina Mercantile,SALVATORE,MANNIRONI,male
II Governo Andreotti,Ministro della Sanità,REMO,GASPARI,male
III Governo Rumor,Ministro senza Portafoglio,REMO,GASPARI,male
I Governo Colombo,Ministro senza Portafoglio,REMO,GASPARI,male
I Governo Andreotti,Ministro senza Portafoglio,REMO,GASPARI,male
II Governo Andreotti,Ministro delle Poste e Telecomunicazioni,GIOVANNI,GIOIA,male
IV Governo Rumor,Ministro senza Portafoglio,GIOVANNI,GIOIA,male
V Governo Rumor,Ministro senza Portafoglio,GIOVANNI,GIOIA,male
III Governo Rumor,Ministro del Bilancio,ANTONIO,GIOLITTI,male
I Governo Colombo,Ministro del Bilancio e della Programmazione Economica,ANTONIO,GIOLITTI,male
IV Governo Rumor,Ministro del Bilancio e della Programmazione Economica,ANTONIO,GIOLITTI,male
V Governo Rumor,MInistro del Bilancio e della Programmazione Economica,ANTONIO,GIOLITTI,male
II Governo Rumor,Ministro di Grazia e Giustizia,SILVIO,GAVA,male
III Governo Rumor,"MInistro dell'Industria, Commercio e Artigianato",SILVIO,GAVA,male
I Governo Colombo,"Ministro dell'Industria, Commercio e Artigianato",SILVIO,GAVA,male
I Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",SILVIO,GAVA,male
II Governo Andreotti,MInistro senza Portafoglio,SILVIO,GAVA,male
IV Governo Rumor,Ministro senza Portafoglio,SILVIO,GAVA,male
II Governo Andreotti,Ministro degli Affari Esteri,GIUSEPPE,MEDICI,male
II Governo Rumor,Ministro delle Finanze,GIACINTO,BOSCO,male
III Governo Rumor,Ministro delle Poste e Telecomunicazioni,GIACINTO,BOSCO,male
I Governo Colombo,Ministro delle Poste e Telecomunicazioni,GIACINTO,BOSCO,male
I Governo Andreotti,Ministro delle Poste e Telecomunicazioni,GIACINTO,BOSCO,male
III Governo Rumor,Ministro senza Portafoglio,GIACINTO,BOSCO,male
II Governo Rumor,Ministro del Bilancio e della Programmazione Economica,GIUSEPPE,CARON,male
II Governo Rumor,Ministro senza Portafoglio,GIORGIO,BO,male
II Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,DIONIGI,COPPO,male
V Governo Rumor,Ministro della Marina Mercantile,DIONIGI,COPPO,male
IV Governo Rumor,Ministro senza Portafoglio,DIONIGI,COPPO,male
I Governo Colombo,Ministro della Marina Mercantile,GIOACCHINO,ATTAGUILE,male
III Governo Rumor,Ministro dei Trasporti e dell'Aviazione civile,ITALO,VIGLIANESI,male
I Governo Colombo,Ministro dei Trasporti e dell'Aviazione Civile,ITALO,VIGLIANESI,male
IV Governo Rumor,Ministro del Turismo e Spettacolo,NICOLA,SIGNORELLO,male
II Governo Andreotti,Ministro senza Portafoglio,GIORGIO,BERGAMASCO,male
II Governo Rumor,Ministro della Difesa,LUIGI,GUI,male
IV Governo Rumor,Ministro della Sanità,LUIGI,GUI,male
V Governo Rumor,MInistro senza Portafoglio,LUIGI,GUI,male
II Governo Andreotti,Ministro dei Lavori Pubblici,ANTONINO,GULLOTTI,male
IV Governo Rumor,Ministro delle Partecipazioni Statali,ANTONINO,GULLOTTI,male
V Governo Rumor,MInistro delle Partecipazioni Statali,ANTONINO,GULLOTTI,male
III Governo Rumor,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,male
I Governo Colombo,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,male
IV Governo Rumor,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,male
V Governo Rumor,Ministro dei Lavori Pubblici,SALVATORE,LAURICELLA,male
II Governo Rumor,"Ministro dell'Industria, Commercio e Artigianato",DOMENICO,MAGRI',male
II Governo Andreotti,Ministro del Tesoro,GIOVANNI FRANCESCO,MALAGODI,male
II Governo Rumor,Ministro delle Partecipazioni Statali,FRANCO MARIA,MALFATTI,male
III Governo Rumor,MInistro delle Poste e Telecomunicazioni,FRANCO MARIA,MALFATTI,male
IV Governo Rumor,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,male
V Governo Rumor,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,male
V Governo Rumor,Ministro senza Portafoglio,GIACOMO,MANCINI,male
III Governo Rumor,Ministro della Sanità,LUIGI,MARIOTTI,male
I Governo Colombo,Ministro della Sanità,LUIGI,MARIOTTI,male
I Governo Colombo,MInistro del Turismo e Spettacolo,GIANMATTEO,MATTEOTTI,male
II Governo Andreotti,Ministro del Commercio con l'Estero,GIANMATTEO,MATTEOTTI,male
IV Governo Rumor,Ministro del Commercio con l'Estero,GIANMATTEO,MATTEOTTI,male
V Governo Rumor,Ministro del Commercio con l'Estero,GIANMATTEO,MATTEOTTI,male
II Governo Andreotti,Ministro del Turismo e Spettacolo,VITTORIO,BADINI CONFALONIERI,male
II Governo Rumor,Ministro del Commercio con l'Estero,RICCARDO,MISASI,male
III Governo Rumor,Ministro della Pubblica Istruzione,RICCARDO,MISASI,male
I Governo Colombo,Ministro della Pubblica Istruzione,RICCARDO,MISASI,male
I Governo Andreotti,Ministro della Pubblica Istruzione,RICCARDO,MISASI,male
II Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,male
III Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,male
I Governo Colombo,Ministro degli Affari Esteri,ALDO,MORO,male
I Governo Andreotti,Ministro degli Affari Esteri,ALDO,MORO,male
IV Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,male
V Governo Rumor,Ministro degli Affari Esteri,ALDO,MORO,male
II Governo Rumor,Ministro dei Lavori Pubblici,LORENZO,NATALI PIERUCCI BONDI,male
III Governo Rumor,Ministro dell'Agricoltura e Foreste,LORENZO,NATALI PIERUCCI BONDI,male
I Governo Colombo,Ministro dell'Agricoltura e Foreste,LORENZO,NATALI PIERUCCI BONDI,male
I Governo Andreotti,Ministro dell'Agricolture e Foreste,LORENZO,NATALI PIERUCCI BONDI,male
II Governo Andreotti,Ministro dell'Agricoltura e Foreste,LORENZO,NATALI PIERUCCI BONDI,male
III Governo Rumor,Ministro delle Finanze,LUIGI,PRETI,male
I Governo Colombo,Ministro delle Finanze,LUIGI,PRETI,male
IV Governo Rumor,Ministro dei Trasporti e dell'Aviazione civile,LUIGI,PRETI,male
V Governo Rumor,Ministro dei Trasporti e dell'Aviazione Civile,LUIGI,PRETI,male
V Governo Rumor,Ministro dei Trasporti,LUIGI,PRETI,male
II Governo Andreotti,Ministro senza Portafoglio,PIER LUIGI,ROMITA,male
I Governo Andreotti,Ministro dell'Interno,MARIANO,RUMOR,male
II Governo Andreotti,Ministro dell'Interno,MARIANO,RUMOR,male
II Governo Rumor,Ministro senza Portafoglio,CARLO,RUSSO,male
III Governo Rumor,Ministro senza Portafoglio,CARLO,RUSSO,male
I Governo Colombo,Ministro senza Portafoglio,CARLO,RUSSO,male
I Governo Andreotti,Ministro senza Portafoglio,CARLO,RUSSO,male
II Governo Rumor,Ministro dell'Agricoltura e Foreste,GIACOMO,SEDATI,male
I Governo Andreotti,Ministro senza Portafoglio,FIORENTINO,SULLO,male
II Governo Andreotti,MInistro senza Portafoglio,FIORENTINO,SULLO,male
III Governo Rumor,Ministro della Difesa,MARIO,TANASSI,male
I Governo Colombo,Ministro della Difesa,MARIO,TANASSI,male
II Governo Andreotti,Ministro della Difesa,MARIO,TANASSI,male
IV Governo Rumor,Ministro della Difesa,MARIO,TANASSI,male
V Governo Rumor,Ministro delle Finanze,MARIO,TANASSI,male
I Governo Andreotti,Ministro dei Trasporti e dell'Aviazione civile,OSCAR LUIGI,SCALFARO,male
II Governo Andreotti,Ministro della Pubblica Istruzione,OSCAR LUIGI,SCALFARO,male
III Governo Rumor,Ministro del Commercio con l'Estero,MARIO,ZAGARI,male
I Governo Colombo,Ministro del Commercio con l'Estero,MARIO,ZAGARI,male
IV Governo Rumor,Ministro di Grazia e Giustizia,MARIO,ZAGARI,male
IV Governo Rumor,Ministro del Lavoro e della Previdenza Sociale,LUIGI,BERTOLDI,male
VII Governo De Gasperi,Ministro della Marina Mercantile,PAOLO,CAPPA,male
VII Governo De Gasperi,Ministro per gli Affari Esteri,ALCIDE,DE GASPERI,male
VII Governo De Gasperi,Ministro per l'Africa Italiana,ALCIDE,DE GASPERI,male
VII Governo De Gasperi,Ministro senza Portafoglio,ATTILIO,PICCIONI,male
VII Governo De Gasperi,Ministro dell'Interno,MARIO,SCELBA,male
IV Governo Moro,Ministro del Bilancio e della Programmazione Economica,GIULIO,ANDREOTTI,male
V Governo Moro,Ministro del Bilancio e della Programmazione Economica,GIULIO,ANDREOTTI,male
IV Governo Andreotti,Ministro dell'Interno,GIULIO,ANDREOTTI,male
V Governo Andreotti,Ministro dei Beni Culturali e Ambientali,GIULIO,ANDREOTTI,male
V Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,GIULIO,ANDREOTTI,male
VII Governo De Gasperi,Ministro delle Poste e Telecomunicazioni,GIUSEPPE,SPATARO,male
IV Governo Moro,Ministro delle Finanze,BRUNO,VISENTINI,male
V Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,BRUNO,VISENTINI,male
VII Governo De Gasperi,Ministro dei Lavori Pubblici,SALVATORE,ALDISIO,male
VII Governo De Gasperi,Ministro dell'Industria e Commercio,PIETRO,CAMPILLI,male
VII Governo De Gasperi,Ministro della Pubblica Istruzione,ANTONIO,SEGNI,male
VII Governo De Gasperi,Ministro senza Portafoglio,CARLO,SFORZA,male
VII Governo De Gasperi,Ministro del Tesoro,EZIO,VANONI,male
VII Governo De Gasperi,Ministro delle Finanze,EZIO,VANONI,male
VII Governo De Gasperi,Ministro di Grazia e Giustizia,ADONE,ZOLI,male
V Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,UGO,LA MALFA,male
VII Governo De Gasperi,Ministro del Commercio con l'Estero,UGO,LA MALFA,male
IV Governo Moro,Ministro di Grazia e Giustizia,ORONZO,REALE,male
I Governo Cossiga,Ministro senza Portafoglio,VITO,SCALIA,male
IV Governo Moro,Ministro dei Lavori Pubblici,PIETRO,BUCALOSSI,male
VII Governo De Gasperi,Ministro dei Trasporti,PIERO,MALVESTITI,male
I Governo Cossiga,Ministro senza Portafoglio,CLELIO,DARIDA,male
IV Governo Moro,Ministro dei Trasporti,MARIO,MARTINELLI,male
V Governo Moro,Ministro dei Trasporti,MARIO,MARTINELLI,male
I Governo Cossiga,Ministro della Sanità,RENATO,ALTISSIMO,male
IV Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,male
V Governo Moro,Ministro del Tesoro,EMILIO,COLOMBO,male
V Governo Andreotti,Ministro del Turismo e Spettacolo,EGIDIO,ARIOSTO,male
I Governo Cossiga,Ministro dei Beni Culturali e Ambientali,EGIDIO,ARIOSTO,male
V Governo Andreotti,Ministro dei Lavori Pubblici,FRANCESCO,COMPAGNA,male
V Governo Moro,Ministro della Sanità,LUCIANO,DAL FALCO,male
III Governo Andreotti,Ministro della Sanità,LUCIANO,DAL FALCO,male
VII Governo De Gasperi,Ministro del Bilancio,GIUSEPPE,PELLA,male
VII Governo De Gasperi,Ministro del Tesoro,GIUSEPPE,PELLA,male
IV Governo Moro,Ministro del Turismo e Spettacolo,ADOLFO,SARTI,male
V Governo Moro,Ministro del Turismo e Spettacolo,ADOLFO,SARTI,male
I Governo Cossiga,Ministro della Difesa,ADOLFO,SARTI,male
I Governo Cossiga,Ministro senza Portafoglio,ADOLFO,SARTI,male
III Governo Andreotti,Ministro delle Poste e Telecomunicazioni,VITTORINO,COLOMBO,male
IV Governo Andreotti,Ministro dei Trasporti,VITTORINO,COLOMBO,male
IV Governo Andreotti,Ministro della Marina Mercantile,VITTORINO,COLOMBO,male
V Governo Andreotti,Ministro delle Poste e Telecomunicazioni,VITTORINO,COLOMBO,male
I Governo Cossiga,Ministro delle Poste e Telecomunicazioni,VITTORINO,COLOMBO,male
V Governo Moro,Ministro dell'Interno,FRANCESCO,COSSIGA,male
III Governo Andreotti,Ministro dell'Interno,FRANCESCO,COSSIGA,male
IV Governo Andreotti,Ministro dell'Interno,FRANCESCO,COSSIGA,male
IV Governo Moro,MInistro senza Portafoglio,FRANCESCO,COSSIGA,male
V Governo Moro,Ministro senza Portafoglio,FRANCESCO,COSSIGA,male
VII Governo De Gasperi,Ministro dell'Agricoltura e Foreste,AMINTORE,FANFANI,male
I Governo Cossiga,Ministro delle Finanze,FRANCO,REVIGLIO,male
IV Governo Moro,MInistro dei Beni Culturali e Ambientali,GIOVANNI,SPADOLINI,male
V Governo Andreotti,Ministro della Pubblica Istruzione,GIOVANNI,SPADOLINI,male
IV Governo Moro,Ministro senza Portafoglio,GIOVANNI,SPADOLINI,male
IV Governo Moro,MInistro del Lavoro e della Previdenza Sociale,MARIO,TOROS,male
V Governo Moro,Ministro del Lavoro e della Previdenza Sociale,MARIO,TOROS,male
I Governo Cossiga,Ministro della Pubblica Istruzione,SALVATORE,VALITUTTI,male
I Governo Cossiga,Ministro del Turismo e Spettacolo,BERNARDO,D'AREZZO,male
IV Governo Moro,Ministro del Commercio con l'Estero,LUIGI CIRIACO,DE MITA,male
V Governo Moro,Ministro del Commercio con l'Estero,LUIGI CIRIACO,DE MITA,male
III Governo Andreotti,Ministro senza Portafoglio,LUIGI CIRIACO,DE MITA,male
IV Governo Andreotti,Ministro senza Portafoglio,LUIGI CIRIACO,DE MITA,male
I Governo Cossiga,Ministro del Bilancio e della Programmazione Economica,BENIAMINO,ANDREATTA,male
V Governo Andreotti,Ministro senza Portafoglio,MICHELE,DI GIESI,male
I Governo Cossiga,MInistro senza Portafoglio,MICHELE,DI GIESI,male
IV Governo Moro,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,male
V Governo Moro,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,male
III Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,male
IV Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",CARLO,DONAT CATTIN,male
I Governo Cossiga,Ministro della Marina Mercantile,FRANCO,EVANGELISTI,male
III Governo Andreotti,Ministro della Marina Mercantile,FRANCESCO,FABBRI,male
IV Governo Moro,Ministro della Difesa,ARNALDO,FORLANI,male
V Governo Moro,Ministro della Difesa,ARNALDO,FORLANI,male
III Governo Andreotti,Ministro degli Affari Esteri,ARNALDO,FORLANI,male
IV Governo Andreotti,Ministro degli Affari Esteri,ARNALDO,FORLANI,male
V Governo Andreotti,Ministro degli Affari Esteri,ARNALDO,FORLANI,male
VII Governo De Gasperi,Ministro del Lavoro e della Previdenza Sociale,LEOPOLDO,RUBINACCI,male
III Governo Andreotti,Ministro del Lavoro e della Previdenza Sociale,TINA,ANSELMI,female
IV Governo Andreotti,Ministro della Sanità,TINA,ANSELMI,female
V Governo Andreotti,Ministro della Sanità,TINA,ANSELMI,female
III Governo Andreotti,Ministro del Turismo e Spettacolo,DARIO,ANTONIOZZI,male
IV Governo Andreotti,Ministro dei Beni Culturali e Ambientali,DARIO,ANTONIOZZI,male
V Governo Andreotti,Ministro dei Beni Culturali e Ambientali,DARIO,ANTONIOZZI,male
IV Governo Moro,Ministro della Marina Mercantile,GIOVANNI,GIOIA,male
V Governo Moro,Ministro della Marina Mercantile,GIOVANNI,GIOIA,male
IV Governo Moro,Ministro delle Poste e Telecomunicazioni,GIULIO,ORLANDO,male
V Governo Moro,Ministro delle Poste e delle Telecomunicazioni,GIULIO,ORLANDO,male
I Governo Cossiga,Ministro della Marina Mercantile,NICOLA,SIGNORELLO,male
III Governo Andreotti,MInistro del Bilancio e della Programmazione Economica,TOMMASO,MORLINO,male
IV Governo Andreotti,Ministro del Bilancio e della Programmazione Economica,TOMMASO,MORLINO,male
V Governo Andreotti,Ministro di Grazia e Giustizia,TOMMASO,MORLINO,male
I Governo Cossiga,Ministro di Grazia e Giustizia,TOMMASO,MORLINO,male
IV Governo Moro,Ministro senza Portafoglio,TOMMASO,MORLINO,male
V Governo Moro,Ministro senza Portafoglio,TOMMASO,MORLINO,male
IV Governo Moro,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,male
V Governo Moro,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,male
III Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,male
IV Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,male
V Governo Andreotti,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,male
I Governo Cossiga,Ministro dell'Agricoltura e Foreste,GIOVANNI ANDREA,MARCORA,male
V Governo Moro,Ministro di Grazia e Giustizia,FRANCESCO PAOLO,BONIFACIO,male
III Governo Andreotti,Ministro di Grazia e Giustizia,FRANCESCO PAOLO,BONIFACIO,male
IV Governo Andreotti,Ministro di Grazia e Giustizia,FRANCESCO PAOLO,BONIFACIO,male
V Governo Moro,Ministro delle Finanze,GAETANO,STAMMATI,male
III Governo Andreotti,Ministro del Tesoro,GAETANO,STAMMATI,male
IV Governo Andreotti,Ministro dei Lavori Pubblici,GAETANO,STAMMATI,male
V Governo Andreotti,Ministro del Commercio con l'Estero,GAETANO,STAMMATI,male
I Governo Cossiga,Ministro del Commercio con l'Estero,GAETANO,STAMMATI,male
IV Governo Andreotti,Ministro del Turismo e Spettacolo,CARLO,PASTORINO,male
III Governo Andreotti,MInistro del Commercio con l'Estero,RINALDO,OSSOLA,male
IV Governo Andreotti,Ministro del Commercio con l'Estero,RINALDO,OSSOLA,male
I Governo Cossiga,Ministro senza Portafoglio,MASSIMO SEVERO,GIANNINI,male
I Governo Cossiga,Ministro delle Partecipazioni Statali,SIRO,LOMBARDINI,male
IV Governo Moro,Ministro dell'Interno,LUIGI,GUI,male
IV Governo Moro,Ministro della Sanità,ANTONINO,GULLOTTI,male
V Governo Moro,Ministro dei Lavori Pubblici,ANTONINO,GULLOTTI,male
III Governo Andreotti,Ministro dei Lavori Pubblici,ANTONINO,GULLOTTI,male
IV Governo Andreotti,MInistro delle Poste e Telecomunicazioni,ANTONINO,GULLOTTI,male
III Governo Andreotti,Ministro dei Trasporti,VITO,LATTANZIO,male
III Governo Andreotti,Ministro della Marina Mercantile,VITO,LATTANZIO,male
III Governo Andreotti,Ministro della Difesa,VITO,LATTANZIO,male
IV Governo Moro,MInistro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,male
V Governo Moro,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,male
III Governo Andreotti,Ministro della Pubblica Istruzione,FRANCO MARIA,MALFATTI,male
IV Governo Andreotti,Ministro delle Finanze,FRANCO MARIA,MALFATTI,male
V Governo Andreotti,Ministro delle Finanze,FRANCO MARIA,MALFATTI,male
I Governo Cossiga,Ministro degli Affari Esteri,FRANCO MARIA,MALFATTI,male
V Governo Moro,Ministro dell'Interno,ALDO,MORO,male
V Governo Andreotti,"Ministro dell'Industria, Commercio e Artigianato",FRANCO,NICOLAZZI,male
I Governo Cossiga,Ministro dei Lavori Pubblici,FRANCO,NICOLAZZI,male
III Governo Andreotti,Ministro delle Finanze,FILIPPO MARIA,PANDOLFI,male
IV Governo Andreotti,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,male
V Governo Andreotti,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,male
I Governo Cossiga,Ministro del Tesoro,FILIPPO MARIA,PANDOLFI,male
V Governo Moro,Ministro dei Beni Culturali e Ambientali,MARIO,PEDINI,male
III Governo Andreotti,Ministro dei Beni Culturali e Ambientali,MARIO,PEDINI,male
IV Governo Andreotti,Ministro della Pubblica Istruzione,MARIO,PEDINI,male
IV Governo Moro,Ministro senza Portafoglio,MARIO,PEDINI,male
V Governo Andreotti,Ministro dei Trasporti,LUIGI,PRETI,male
