d,nome,cognome,legislatura,gender
http://dati.camera.it/ocd/deputato.rdf/d11710_0,VINCENZO,LA ROCCA,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11730_0,ALFONSO,MOTOLESE,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11740_0,LEONARDO,MICCOLIS,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11750_0,LUIGI,VALLONE,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11760_0,SALVATORE,SCOCA,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11770_0,ENRICO,MINIO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11780_0,GIUSEPPE,GRASSI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11790_0,ADRIANO,BERNARDI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11800_0,ARTURO,BURATO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11810_0,VERENIN,GRAZIA,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11820_0,RENZO,LACONI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11840_0,GIOVAN BATTISTA,ADONNINO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11860_0,ALESSANDRO,SCOTTI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11870_0,GIULIO,PASTORE,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11880_0,MARIO,MERIGHI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11900_0,ARRIGO,CAIRO,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11910_0,IRENEO,VINCIGUERRA,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d11950_0,MILZIADE,VENDITTI,http://dati.camera.it/ocd/legislatura.rdf/costituente,male
http://dati.camera.it/ocd/deputato.rdf/d10000_1,MATTEO,RESCIGNO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d1000_1,PAOLO,BONOMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10010_1,MARIO,RICCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10030_1,GIUSEPPE,RIVA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
http://dati.camera.it/ocd/deputato.rdf/d10040_1,ERCOLE,ROCCHETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,male
