nome,cognome,legislatura,incarico
CARLA,CASTELLANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,CAPOGRUPPO
EDDA,FAGNI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
EDDA,FAGNI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
CARLA,ROCCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,CAPOGRUPPO
CARLA,ROCCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,SEGRETARIO
ERSILIA,SALVATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
MARIA GRAZIA,SILIQUINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,CAPOGRUPPO
CARMEN PAOLA,ZANTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_04,SEGRETARIO
CARMEN PAOLA,ZANTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_05,SEGRETARIO
PIERA,BONETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,VICEPRESIDENTE
ANNA MARIA,CASTELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
ANGELA,FRANCESE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
ANGELA,FRANCESE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
VALENTINA,LANFRANCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
ANNA MARIA,VIETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,SEGRETARIO
ROSSELLA,ARTIOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
ROSSELLA,ARTIOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
ROSSELLA,ARTIOLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,VICEPRESIDENTE
FLORA,CALVANESE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
MARIA TERESA,CAPECCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
ADRIANA,CECI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
LEDA,COLOMBINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
LAURA,FINCATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,CAPOGRUPPO
LAURA,FINCATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,VICEPRESIDENTE
BIANCA,GELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
TERESA,MIGLIASSO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
ROSANNA,MINOZZI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
ANNA MARIA,NUCCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,SEGRETARIO
ADRIANA,POLI BORTONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,VICEPRESIDENTE
NEIDE,UMIDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
SILVIA,COSTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
ROBERTA,BREDA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
ROBERTA,BREDA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,VICEPRESIDENTE
ELENA,MONTECCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,QUESTORE
ELENA,MONTECCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12,SEGRETARIO
ELENA,MONTECCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13,SEGRETARIO
ELISABETTA,CONCI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
ERISIA,GENNAI TONIETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,SEGRETARIO
TINA,ANSELMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_08,PRESIDENTE
TINA,ANSELMI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_09,PRESIDENTE
PATRIZIA,ARNABOLDI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
CAROLE JANE,BEEBE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,VICEPRESIDENTE
CRISTINA,BEVILACQUA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
LAURA,CIMA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,SEGRETARIO
ELISABETTA,DI PRISCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
ANNA,FINOCCHIARO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
ANNA,FINOCCHIARO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
ANNA,FINOCCHIARO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13,PRESIDENTE
ANNA,FINOCCHIARO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,CAPOGRUPPO
BATTISTINA,FUMAGALLI CARULLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,PRESIDENTE
BATTISTINA,FUMAGALLI CARULLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,PRESIDENTE
MARIA TERESA,GROSSO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,VICEPRESIDENTE
BIANCA,GUIDETTI SERRA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10,SEGRETARIO
MARIA RITA,LORENZETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11,SEGRETARIO
MARIA RITA,LORENZETTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13,PRESIDENTE
SUSANNA,AGNELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_07,SEGRETARIO
KATIA,BELLILLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,SEGRETARIO
KATIA,BELLILLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,CAPOGRUPPO
KATIA,BELLILLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,CAPOGRUPPO
MARINA,SERENI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,PRESIDENTE
MARINA,SERENI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,VICEPRESIDENTE
ANNA MARIA,LEONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,CAPOGRUPPO
ANNA MARIA,LEONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,SEGRETARIO
ANNA MARIA,LEONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,VICEPRESIDENTE
FRANCESCA,MARTINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,CAPOGRUPPO
FRANCESCA,MARTINI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,SEGRETARIO
CARMEN,MOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,VICEPRESIDENTE
CARMEN,MOTTA,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,VICEPRESIDENTE
ROSELLA,OTTONE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,SEGRETARIO
DORINA,BIANCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14,CAPOGRUPPO
DORINA,BIANCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,VICEPRESIDENTE
DORINA,BIANCHI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,CAPOGRUPPO
FRANCA,BIMBI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,PRESIDENTE
RAFFAELLA,MARIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,CAPOGRUPPO
RAFFAELLA,MARIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,CAPOGRUPPO
RAFFAELLA,MARIANI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,VICEPRESIDENTE
LORENA,MILANATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,SEGRETARIO
LORENA,MILANATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,PRESIDENTE
LORENA,MILANATO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,SEGRETARIO
GABRIELLA,MONDELLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,SEGRETARIO
GABRIELLA,MONDELLO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,SEGRETARIO
ROBERTA,PINOTTI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15,PRESIDENTE
JOLE,SANTELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16,VICEPRESIDENTE
JOLE,SANTELLI,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17,CAPOGRUPPO
