Governo,Ministro,nome,cognome,gender,legislatura
II Governo Fanfani,Ministro degli Affari Esteri,AMINTORE,FANFANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro degli Affari Esteri,AMINTORE,FANFANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro del Lavoro e della Previdenza Sociale,AMINTORE,FANFANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
II Governo Fanfani,Ministro dell'Agricoltura e Foreste,MARIO,FERRARI AGGRADI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro delle Partecipazioni Statali,MARIO,FERRARI AGGRADI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro dei Trasporti,MARIO,FERRARI AGGRADI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,MInistro delle Partecipazioni Statali,MARIO,FERRARI AGGRADI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro del Lavoro e della Previdenza Sociale,VIRGINIO,BERTINELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Renzi,Ministro dei Beni e delle attività culturali e del turismo,DARIO,FRANCESCHINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro della Difesa,ROBERTA,PINOTTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro dell'Interno,ANGELINO,ALFANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro delle Infrastrutture e dei trasporti,MAURIZIO ENZO,LUPI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
IV Governo Fanfani,Ministro delle Poste e Telecomunicazioni,GUIDO,CORBELLINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
V Governo De Gasperi,Ministro dei Trasporti,GUIDO,CORBELLINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
V Governo De Gasperi,Ministro della Marina Mercantile,GUIDO,CORBELLINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
IV Governo Fanfani,MInistro senza Portafoglio,GUIDO,CORBELLINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro del Bilancio,GIUSEPPE,MEDICI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro della Pubblica Istruzione,GIUSEPPE,MEDICI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro della Pubblica Istruzione,GIUSEPPE,MEDICI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,MInistro senza Portafoglio,GIUSEPPE,MEDICI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro della Sanità,VINCENZO,MONALDI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro delle Poste e Telecomunicazioni,LORENZO,SPALLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro delle Poste e Telecomunicazioni,LORENZO,SPALLINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro della Pubblica Istruzione,GIACINTO,BOSCO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro di Grazia e Giustizia,GIACINTO,BOSCO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro della Sanità,CAMILLO,GIARDINA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro della Sanità,CAMILLO,GIARDINA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro della Sanità,CAMILLO,GIARDINA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro senza Portafoglio,CAMILLO,GIARDINA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Fanfani,Ministro dell'Industria e Commercio,GIORGIO,BO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro delle Partecipazioni Statali,GIORGIO,BO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro delle Partecipazioni Statali,GIORGIO,BO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
II Governo Segni,Ministro senza Portafoglio,GIORGIO,BO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro senza Portafoglio,GIORGIO,BO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Tambroni,Ministro delle Finanze,GIUSEPPE,TRABUCCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
III Governo Fanfani,Ministro delle Finanze,GIUSEPPE,TRABUCCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
IV Governo Fanfani,Ministro delle Finanze,GIUSEPPE,TRABUCCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03
I Governo Renzi,Ministro della Giustizia,ANDREA,ORLANDO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro dell'Ambiente e della tutela del territorio e del mare,GIAN LUCA,GALLETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro della Salute,BEATRICE,LORENZIN,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
I Governo Renzi,Ministro per la Semplificazione e la pubblica amministrazione,MARIA ANNA,MADIA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
