d,cognome,nome,legislatura,gruppoParlamentare
http://dati.camera.it/ocd/deputato.rdf/d11780_0,GRASSI,GIUSEPPE,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d1180_1,BUCCIARELLI DUCCI,BRUNETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1180_2,BUCCIARELLI DUCCI,BRUNETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d1180_2,BUCCIARELLI DUCCI,BRUNETTO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d11820_1,LACONI,RENZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d11820_1,LACONI,RENZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d11820_2,LACONI,RENZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,SEGRETARIO
http://dati.camera.it/ocd/deputato.rdf/d11820_2,LACONI,RENZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d11820_3,LACONI,RENZO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d11830_2,CAFIERO,RAFFAELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02,MEMBRO DEL C.D.
http://dati.camera.it/ocd/deputato.rdf/d11830_3,CAFIERO,RAFFAELE,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d11950_0,VENDITTI,MILZIADE,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d12000_0,CANNIZZO,BARTOLOMEO,http://dati.camera.it/ocd/legislatura.rdf/costituente,VICEPRESIDENTE
http://dati.camera.it/ocd/deputato.rdf/d1200_3,BUSETTO,FRANCO,http://dati.camera.it/ocd/legislatura.rdf/repubblica_03,MEMBRO DEL C.D.
