nome,cognome,gender,legislatura
LAURA,CIMA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
LAURA,CIMA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ELISABETTA,DI PRISCO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ELISABETTA,DI PRISCO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
ANNA,DONATI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ROSA,FILIPPINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ROSA,FILIPPINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
ANNA,FINOCCHIARO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
ANNA,FINOCCHIARO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
ANNA,FINOCCHIARO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
ANNA,FINOCCHIARO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13
ANNA,FINOCCHIARO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
LUCIA,FRONZA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
LUCIA,FRONZA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
BATTISTINA,FUMAGALLI CARULLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
BATTISTINA,FUMAGALLI CARULLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
BATTISTINA,FUMAGALLI CARULLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
MARIA RITA,LORENZETTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
MARIA RITA,LORENZETTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
MARIA RITA,LORENZETTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
MARIA RITA,LORENZETTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_13
NADIA,MASINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_10
NADIA,MASINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_11
NADIA,MASINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_12
KATIA,BELLILLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
KATIA,BELLILLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARINA,SERENI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
MARINA,SERENI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
MARINA,SERENI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
MARINA,SERENI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
ANNA MARIA,LEONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
FRANCESCA,MARTINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
FRANCESCA,MARTINI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
CARMEN,MOTTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
CARMEN,MOTTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
CARMEN,MOTTA,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
ROSELLA,OTTONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ROSELLA,OTTONE,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
DORINA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
DORINA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
DORINA,BIANCHI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
FRANCA,BIMBI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
FRANCA,BIMBI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
RAFFAELLA,MARIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
RAFFAELLA,MARIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
RAFFAELLA,MARIANI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
LORENA,MILANATO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
LORENA,MILANATO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
LORENA,MILANATO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
LORENA,MILANATO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_17
GABRIELLA,MONDELLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
GABRIELLA,MONDELLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
GABRIELLA,MONDELLO,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_16
ROBERTA,PINOTTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
ROBERTA,PINOTTI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_15
JOLE,SANTELLI,female,http://dati.camera.it/ocd/legislatura.rdf/repubblica_14
