Anno;Mese;Museo;Visitatori;Utenti
2017;novembre;Museo del Patrimonio Industriale;3350;4296
2017;novembre;Museo della Musica;2971;9082
2017;dicembre;Museo Davia Bargellini;2190;133
2017;dicembre;Museo della Tappezzeria;238;74
2017;dicembre;MAMbo e Museo Morandi;12426;2148
2017;dicembre;Villa delle Rose;0;0
2017;dicembre;Casa Morandi;128;25
2018;gennaio;Museo del Patrimonio Industriale;3028;4683
2018;febbraio;Museo Archeologico;8536;2583
2018;febbraio;Collezioni Comunali d'Arte;1207;217
2018;febbraio;Museo Davia Bargellini;691;53
2018;febbraio;Villa delle Rose;596;0
2018;febbraio;Museo per la Memoria di Ustica;1033;45
2018;marzo;Museo Archeologico;13136;3919
2018;marzo;Museo del Patrimonio Industriale;4387;2616
2018;marzo;Museo del Risorgimento;502;247
2018;marzo;Museo della Musica;3825;3972
2018;aprile;Museo per la Memoria di Ustica;2051;473
2018;maggio;Museo della Tappezzeria;594;315
2018;maggio;Museo per la Memoria di Ustica;1296;126
2018;maggio;Casa Morandi;275;0
2018;maggio;Museo del Patrimonio Industriale;4337;2302
2018;giugno;Museo Davia Bargellini;1915;142
2018;giugno;Museo per la Memoria di Ustica;1065;28
2018;luglio;Collezioni Comunali d'Arte;2187;0
2018;luglio;MAMbo e Museo Morandi;7650;672
2018;luglio;Villa delle Rose;0;392
2018;luglio;Casa Morandi;125;18
2018;luglio;Museo del Patrimonio Industriale;1155;577
2018;agosto;Museo Archeologico;3462;18
2018;agosto;MAMbo e Museo Morandi;7576;111
2018;agosto;Villa delle Rose;0;285
2018;agosto;Museo del Patrimonio Industriale;49;2
2018;settembre;Museo Archeologico;3319;15
2018;settembre;Collezioni Comunali d'Arte;2130;0
2018;settembre;Museo della Tappezzeria;1106;200
2018;settembre;Museo per la Memoria di Ustica;591;14
2018;settembre;Museo del Patrimonio Industriale;769;327
2018;settembre;Museo della Musica;1429;650
2018;ottobre;MAMbo e Museo Morandi;9179;3400
2018;ottobre;Villa delle Rose;92;0
2018;ottobre;Museo per la Memoria di Ustica;842;33
2018;ottobre;Museo del Risorgimento;691;324
2018;ottobre;Museo della Musica;2479;1189
2018;novembre;Museo Archeologico;15564;553
2018;novembre;Collezioni Comunali d'Arte;2115;120
2018;novembre;Museo Davia Bargellini;2043;31
2018;novembre;Museo della Musica;3314;1708
2018;dicembre;Museo del Patrimonio Industriale;2586;4342
2019;gennaio;Villa delle Rose;250;9
2019;febbraio;Collezioni Comunali d'Arte;2424;2942
2019;febbraio;Museo Medievale;3156;297
2019;febbraio;Museo della Tappezzeria;0;0
2019;febbraio;Casa Morandi;301;25
