nome,cognome,gender
ELISEO,MILANI,male
ANTONINO,SCAINI,male
VITTORIO,CECATI,male
ALESSANDRO,FERRETTI,male
VINICIO,BALDELLI,male
CESARE,ALLEGRI,male
SPARTACO,BERAGNOLI,male
LUCIANO,DE PASCALIS,male
CASIMIRO,VIZZINI,male
AGOSTINO,GREGGI,male
ANGELO,BONAITI,male
ARMANDO,CASCIO,male
UGO,MARCHESI,male
GIOVANNI,GIRAUDI,male
LUCIO MARIANO,BRANDI,male
MATTEO,AGOSTA,male
GOFFREDO,NANNINI,male
ALFONSO,CERRETI,male
ARCHIMEDE,TAVERNA,male
PIERGIORGIO,BRESSANI,male
FEDERICO,BRINI,male
PIETRO LUDOVICO,VERGANI,male
PIETRO,BRUSCHI,male
ALDO,ARZILLI,male
SILVIO,AMBROSINI,male
GIOVANNI,DELLO JACOVO,male
PIETRO,BUCALOSSI,male
FEDERICO,COMANDINI,male
GIUSEPPE ANTONIO,BOTTARO,male
GIUSEPPE,SALES,male
GIULIO,PERUGI,male
GIACINTO,ARTALE,male
FILIPPO,BARATTOLO,male
BARTOLOMEO,CANNIZZO,male
PIETRO,PRESSINOTTI,male
CAMILLO,CORSANEGO,male
MATTEO,TONENGO,male
ALBERIGO,LENZA,male
GUIDO,RUSSO PEREZ,male
GIOVANNI,PERLINGIERI,male
GIACOMO,CASONI,male
GIUSEPPE,BABBI,male
CESARE,CURCIO,male
PAOLO,TREVES,male
FRANCESCO,NAPOLITANO,male
SANTO FILIPPO NERI,SEMERARO,male
EGIDIO,FERRARA,male
RAFFAELE PIO,PETRILLI,male
ADOLFO,QUINTIERI,male
LUIGI,DE FILPO,male
ALCIDE,MALAGUGINI,male
CARLO,BUZZI,male
ANGELO,PRIORE,male
ALESSANDRO,COPPI,male
CELESTE,BASTIANETTO,male
GIOVANNI,CUOMO,male
OLINDO,CREMASCHI,male
GIUSEPPE,NOTARIANNI,male
FRANCESCO,COCCO ORTU,male
FRANCESCO,CHIEFFI,male
MARZIANO,GUGLIELMINETTI,male
ALBERTO,SIMONINI,male
FRANCESCO AURELIO,DI BELLA,male
GIOVANNI,BOVETTI,male
MARIO,BERLINGUER,male
GIULIO,TURCHI,male
LUIGI,MEDA,male
EZIO,VIGORELLI,male
FORTUNATO,CALCAGNO,male
VITO GIUSEPPE,GALATI,male
GIOVANNI,CARIGNANI,male
TARCISIO,PACATI,male
VINCENZO,TIERI,male
PIERO,MALVESTITI,male
ANTONIO,MOLINAROLI,male
ITALO GIULIO,CAIATI,male
RENATO,TEGA,male
VINCENZO,BAVARO,male
EZIO,VILLANI,male
FERDINANDO,TAMBRONI ARMAROLI,male
ARNALDO,AZZI,male
ENRICO,GRAZI,male
OLINDO,PREZIOSI,male
GUIDO,FALETRA,male
UMBERTO,SANNICOLO',male
ORESTE,BONOMELLI,male
GUIDO,BERNARDI,male
GIUSEPPE,FERRANDI,male
MICHELE,DE CAPUA,male
ALBERTO,CAVALIERE,male
NICOLA,LA GRAVINESE,male
UMBERTO,CALOSSO,male
GIUSEPPE,CALABRO',male
GIUSEPPE,DE FALCO,male
ALDOVINO,FORA,male
ALFREDO,COTANI,male
EZIO,COPPA,male
LETTERIO,LA SPADA,male
DINO,PENAZZATO,male
LUIGI,CACCIATORE,male
VINCENZO,SELVAGGI,male
GIULIO,MARAZZINA,male
GIOVANNI,CASO,male
COSTANTE,BIANCHI,male
MASSIMO,DEL FANTE,male
ANTONIO,DI DONATO,male
GUIDO,MUSSINI,male
RAFFAELE,RESTA,male
BRUTO,PUCCETTI,male
GIOVANNI,PALAZZOLO,male
ENRICO,SPARAPANI,male
FIORENZO,CIMENTI,male
LUDOVICO,SICIGNANO,male
FRANCESCO,CAROLEO,male
FERNANDO,SANTI,male
GIUSEPPE,RICCI,male
GUGLIELMO,SCHIRATTI,male
RAFFAELE,MERLONI,male
ALBERTO,CONSIGLIO,male
ALDO ENZO,PIGNATARI,male
GINO,PIERI,male
QUINTO,BUCCI,male
VINCENZO,SANGALLI,male
LUIGI,CHATRIAN,male
UGO,RODINO',male
ANGELO,CORSI,male
GUIDO,MAZZALI,male
CESARE,DAMI,male
EMILIO,ZANNERINI,male
MARIO,CERAVOLO,male
PIETRO,REALI,male
OTELLO,MAGNANI,male
ALCIDE,DE GASPERI,male
PIETRO,GERMANI,male
CELESTE CARLO,NEGARVILLE,male
ENRICO,TOSI,male
RICCARDO,FERRARI,male
MICHELE ENRICO,MAROTTA,male
GINO,BELTRAME,male
VITTORIO,GHIDETTI,male
MARIO,RICCIARDI,male
VITTORIO,BOSCO LUCARELLI,male
ANTONINO,DANTE,male
LUIGI,ALLEGATO,male
BIAGIO,ANDO',male
PASQUALE,CORTESE,male
LUIGI,MORELLI,male
GIULIO,CARADONNA,male
MARIO,ALICATA,male
DOMENICO,SPOLETI,male
GAETANO,MARTINO,male
CORRADO,TERRANOVA,male
PAOLO ALFONSO,FARINET,male
GIOVANNI,CARTIA,male
GIOVANNI,TONETTI,male
TEODORO,BUBBIO,male
ANTONIO LUIGI,LOMBARDINI,male
FEDERICO,TORRETTA,male
RAFFAELE,RECCA,male
MICHELE,SALA,male
MARIO,CEVOLOTTO,male
ATTILIO,SALVATORE,male
FRANCESCO,SAIJA,male
EMANUELE,GUERRIERI,male
GIOVANNI BATTISTA,PERA,male
MICHELE,VALENTI,male
ANTONIO,CARIGLIA,male
FAUSTO,PECORARI,male
FELICE,PLATONE,male
PIETRO,MENTASTI,male
ENRICO,MEDI,male
ANTONIO,FERRARESE,male
BRUNO,CASTELLARIN,male
GIUSEPPE,CAROLI,male
CARLO,REPOSSI,male
GIOVANNI,TANASCO,male
GIORDANO,PRATOLONGO,male
GIUSEPPE,DOZZA,male
RODOLFO,VICENTINI,male
TOMMASO,LEONETTI,male
DOMENICO,LARUSSA,male
DOMENICO,CIUFOLI,male
CHIAFFREDO,BELLIARDI,male
STELLIO,LOZZA,male
EDOARDO,CLERICI,male
ANTONIO,GUARIENTO,male
VALDO,FUSI,male
GIORGIO,ALMIRANTE,male
CARLO,PETRONE,male
FRANCO,BUSETTO,male
ALDO,MAINA,male
PIERGIORGIO,ALLERA,male
ANTONINO GIUSEPPE,BUTTAFUOCO,male
NICOLA,CARIOTA FERRARA,male
SALVATORE,COTTONI,male
GIOVAMBATTISTA,FANALES,male
ALBERTO,GUIDI,male
GIOVANNI,BUZZONI,male
SALVATORE,SANFILIPPO,male
GIOVANNI,DE LORENZO,male
NARCISO,SCIOLIS,male
PAOLO,CABRAS,male
ALFREDO,DE POLZER,male
GIUSEPPE,TERRAGNI,male
MANLIO LIVIO,CASSANDRO,male
LUIGI,CAIAZZA,male
VINCENZO,GAGLIARDI,male
NATALE,DI PIAZZA,male
MARIO,OTTIERI,male
RICCARDO,FABBRI,male
NICOLA,FASANO,male
ANTONIO,CALDORO,male
NICOLA,PISTELLI,male
GIOACCHINO,LAURO,male
GIOVANNI,ARENELLA,male
VITTORIO,CALVETTI,male
VITTORIO,ZINCONE,male
GIULIO,GOEHRING,male
ROBERTO,MARMUGI,male
ANTONIO ENRICO,CANEPA,male
ALESSANDRO,CANESTRARI,male
SERGIO,MORGANA,male
FRANCESCO,FERRARI,male
RAFFAELE,LEONE,male
MICHELE,CAPRA,male
GIOVANNI ORESTE,VILLA,male
GIULIANO,DE LAURENTIIS,male
ALFREDO,CUCCO,male
FRANCESCO,TAORMINA,male
FILIPPO,ANFUSO,male
