nome,cognome,gender,legislatura
FRANCESCO,SCIAUDONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIOVANNI,SERBANDINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LUIGI,SILIPO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIOVANNI,SODANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
CARLO,STAGNO D'ALCONTRES,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ACHILLE,STUANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
PAOLO,SURACI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LEONILDO,TAROZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ROMANO,TOMMASI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
EGIDIO,TOSATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ROBERTO,TREMELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIUSEPPE,TUDISCO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
VINCENZO,TURCO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
CARLO EUGENIO,VENEGONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIUSEPPE,VERONESI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
RICCARDO,WALTER,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
UMBERTO,ZANFAGNINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
TOMMASO,ZERBI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
MICHELANGELO,TRIMARCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIULIO ANDREA,BELLONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
SALVATORE,PAGLIUCA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
FAUSTO,GULLO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIUSEPPE,LATORRE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
MARIO,ANGELUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
FRANCESCO,DE VITA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ERNESTO,CARPANO MAGLIOLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LODOVICO SFORZA,BENVENUTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIUSEPPE,NITTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LEONE OSVALDO,GIROLAMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LUIGI,PALMIERI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
VITO,MONTERISI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
CARLO,FARINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
MICHELE,TROISI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
CARMINE,DE MARTINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
BORTOLO EUGENIO,FINA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
EUGENIO,DUGONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
FILIPPO,GUERRIERI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
PRIAMO,BIGIANDI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
CORNELIO,FIETTA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
NATALE VASCO,JACOPONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LUIGI,ZAPPELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ENNIO,AVANZINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
BERNARDO,MATTARELLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ALCIDE,PIRAZZI MAFFIOLA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
VINCENZO,LA ROCCA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIORGIO,MASTINO DEL RIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
LUIGI,VALLONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
SALVATORE,SCOCA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIUSEPPE,GRASSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ARTURO,BURATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
BRUNETTO,BUCCIARELLI DUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
VERENIN,GRAZIA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
RENZO,LACONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIOVAN BATTISTA,ADONNINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
ALESSANDRO,SCOTTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIULIO,PASTORE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GIOVANNI,GASPAROLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
VIRGINIO,BORIONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
GAETANO,INVERNIZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_01
PAOLO,BONOMI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
MARIO,RICCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ACHILLE,RIGAMONTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIUSEPPE,RIVA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ERCOLE,ROCCHETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIUSEPPE,ROMANATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
BARTOLOMEO,ROMANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
PAOLO,ROSSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ANGELO,RUBINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ARMANDO,SABATINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
DINO,SACCENTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
UMBERTO,SAMPIETRO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
VITO,SANZO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
CARLO,SCARASCIA MUGNOZZA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIUSEPPE,SCHIRO',male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
FRANCESCO,SCIAUDONE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RAFFAELE,SCIORILLI BORRELLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GUIDO,SECRETO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ANTONIO,SENSI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RENZO,SILVESTRI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIOVANNI,SODANO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
TOMMASO,SORGI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ODO,SPADAZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIOVANNI BATTISTA,STUCCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
LEONILDO,TAROZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
MAURO,TOGNONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
EGIDIO,TOSATO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
EMILIO,TRABUCCHI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
TULLIO,VECCHIETTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
CARLO EUGENIO,VENEGONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GIUSEPPE,VERONESI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
VITTORINO,VILLANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ARTURO,VIVIANI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RICCARDO,WALTER,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
FULVIO,ZAMPONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
TOMMASO,ZERBI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RENZO,PASINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
RENATO,GOZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
DOMENICO,LECCISI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
VITO,SCALIA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ALDO,BOZZI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
MICHELE,DEL VESCOVO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
OTELLO,MARILLI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
SALVATORE,PAGLIUCA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
FAUSTO,GULLO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
MARIO,ANGELUCCI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
FRANCESCO,DE VITA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
ENNIO,DE BIAGI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
LODOVICO SFORZA,BENVENUTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
GUIDO,CORTESE,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
PAOLO,CAPPA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
EDOARDO,D'ONOFRIO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
CARLO,FARINI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
MICHELE,TROISI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
CARMINE,DE MARTINO,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
BORTOLO EUGENIO,FINA,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
SALVATORE ANGELO,GITTI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
EUGENIO,DUGONI,male,http://dati.camera.it/ocd/legislatura.rdf/repubblica_02
