gender,legislatura,Persona
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Chieffi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Alberto_Simonini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Bovetti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Meda
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ezio_Vigorelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Vito_Giuseppe_Galati
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Carignani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Vincenzo_Tieri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Piero_Malvestiti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Italo_Giulio_Caiati
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Renato_Tega
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ezio_Villani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ferdinando_Tambroni_Armaroli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Arnaldo_Azzi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Enrico_Grazi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Oreste_Bonomelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Nicola_La_Gravinese
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Umberto_Calosso
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_De_Falco
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ezio_Coppa
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Cacciatore
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Vincenzo_Selvaggi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Caso
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Costante_Bianchi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Fiorenzo_Cimenti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ludovico_Sicignano
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Caroleo
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Ricci
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Guglielmo_Schiratti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Aldo_Enzo_Pignatari
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gino_Pieri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Quinto_Bucci
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Chatrian
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ugo_Rodino'
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Angelo_Corsi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Emilio_Zannerini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Alcide_De_Gasperi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Celeste_Carlo_Negarville
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Enrico_Tosi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Vittorio_Ghidetti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Allegato
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pasquale_Cortese
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Morelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gaetano_Martino
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Corrado_Terranova
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Cartia
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Tonetti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Teodoro_Bubbio
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Raffaele_Recca
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Mario_Cevolotto
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Attilio_Salvatore
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Emanuele_Guerrieri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Battista_Pera
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Michele_Valenti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Fausto_Pecorari
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Felice_Platone
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pietro_Mentasti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Enrico_Medi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Ferrarese
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giordano_Pratolongo
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Dozza
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Rodolfo_Vicentini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Stellio_Lozza
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Edoardo_Clerici
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Guariento
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Palmiro_Togliatti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Alessandro_Gatta
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Domenico_Mezzadra
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gerardo_Bruni
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ambrogio_Viale
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Restivo
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Mario_Martinelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gherardo_Taddia
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giacomo_De_Palma
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ludovico_Camangi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Calogero_Volpe
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Oreste_Lizzadri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Calogero_Di_Gloria
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Codacci_Pisanelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Pignedoli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Emilio_Colombo
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Armando_Angelini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Anelito_Barontini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Lelio_Basso
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Belotti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ermenegildo_Bertola
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Maria_Bettiol
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Uberto_Bonino
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Brusasca
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Capua
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giulio_Cerreti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gennaro_Cassiani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Tristano_Codignola
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Arturo_Raffaello_Colombi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Carlo_Colonna_Di_Paliano
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_De_Michele
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Ermini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giacinto_Froggio
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Garlato
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Guido_Gonella
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Gronchi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Angelo_Raffaele_Jervolino
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Edgardo_Lami_Starnuti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Carlo_Lombardi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Alfredo_Covelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Mario_Montagnana
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Lodovico_Montini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Moranino
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Filippo_Murdaca
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pietro_Nenni
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Pella
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Pesenti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Attilio_Piccioni
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Costantino_Preziosi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Ruggeri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Saragat
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Sergio_Scarpa
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Mario_Scelba
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Fernando_Schiavetti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giulio_Andreotti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Scotti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Amintore_Fanfani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giovanni_Leone
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Spataro
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Paolo_Emilio_Taviani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Leo_Valiani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giorgio_Amendola
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Togni
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gaetano_Vigo
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Beniamino_De_Maria
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Riccardo_Ravagnan
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Agostino_Novella
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Abozzi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Salvatore_Aldisio
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Alessandro_Arcangeli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giambattista_Bosco_Lucarelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pietro_Bulloni
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Edmondo_Caccuri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Piero_Calamandrei
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pietro_Campilli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Cappi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Benedetto_Carratelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Castelli_Avolio
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Cavalli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Chiostergi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Cifaldi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gastone_Costa
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Raffaele_De_Caro
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Antonio_Alberti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ugo_Della_Seta
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Florestano_Di_Fausto
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Di_Vittorio
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Maria_Dominedo'
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Dossetti
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Luigi_Faccio
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Vannuccio_Faralli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Aldo_Fedeli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Celestino_Ferrario
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pietro_Ferreri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Andrea_Finocchiaro_Aprile
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Firrao
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Alberto_Fogagnolo
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Piero_Fornara
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Armando_Fresa
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Fuschini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Guglielmo_Ghislandi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Guglielmo_Giannini
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Umberto_Grilli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Imperiale
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pasquale_Lagravinese
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Raffaele_Lettieri
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Girolamo_Li_Causi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pietro_Lizier
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Mario_Longhena
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gino_Macrelli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Marino_Magnani
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Salvatore_Mannironi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Achille_Marazza
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Concetto_Marchesi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Pasquale_Marconi
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Francesco_Marinaro
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Achille_Marzarotto
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Gesumino_Mastino
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Ottavio_Mastrojanni
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Micheli
male,http://dati.camera.it/ocd/legislatura.rdf/costituente,Giuseppe_Emanuele_Modigliani
