persona,nome,cognome,gender
http://dati.camera.it/ocd/persona.rdf/p1110,ALDO,BOZZI,male
http://dati.camera.it/ocd/persona.rdf/p11130,MICHELE,DEL VESCOVO,male
http://dati.camera.it/ocd/persona.rdf/p11190,OTELLO,MARILLI,male
http://dati.camera.it/ocd/persona.rdf/p11210,GIULIO ANDREA,BELLONI,male
http://dati.camera.it/ocd/persona.rdf/p11220,SALVATORE,PAGLIUCA,male
http://dati.camera.it/ocd/persona.rdf/p11230,FAUSTO,GULLO,male
http://dati.camera.it/ocd/persona.rdf/p11240,GIUSEPPE,LATORRE,male
http://dati.camera.it/ocd/persona.rdf/p11290,MARIO,ANGELUCCI,male
http://dati.camera.it/ocd/persona.rdf/p11300,FRANCESCO,DE VITA,male
http://dati.camera.it/ocd/persona.rdf/p11310,ENNIO,DE BIAGI,male
http://dati.camera.it/ocd/persona.rdf/p11320,ERNESTO,CARPANO MAGLIOLI,male
http://dati.camera.it/ocd/persona.rdf/p11330,LODOVICO SFORZA,BENVENUTI,male
http://dati.camera.it/ocd/persona.rdf/p11340,GUIDO,CORTESE,male
http://dati.camera.it/ocd/persona.rdf/p11350,PAOLO,CAPPA,male
http://dati.camera.it/ocd/persona.rdf/p11360,GUSTAVO,COLONNETTI,male
http://dati.camera.it/ocd/persona.rdf/p11370,LUIGI,BATTISTI,male
http://dati.camera.it/ocd/persona.rdf/p11380,GIUSEPPE,NITTI,male
http://dati.camera.it/ocd/persona.rdf/p11390,EDOARDO,D'ONOFRIO,male
http://dati.camera.it/ocd/persona.rdf/p11400,LEONE OSVALDO,GIROLAMI,male
http://dati.camera.it/ocd/persona.rdf/p11410,LUIGI,PALMIERI,male
http://dati.camera.it/ocd/persona.rdf/p11420,VITO,MONTERISI,male
http://dati.camera.it/ocd/persona.rdf/p11430,CARLO,FARINI,male
http://dati.camera.it/ocd/persona.rdf/p11440,MICHELE,TROISI,male
http://dati.camera.it/ocd/persona.rdf/p11450,CARMINE,DE MARTINO,male
http://dati.camera.it/ocd/persona.rdf/p11460,BORTOLO EUGENIO,FINA,male
http://dati.camera.it/ocd/persona.rdf/p11470,ANTONINO,VARVARO,male
http://dati.camera.it/ocd/persona.rdf/p11480,MARIO,RODINO' DI MIGLIONE,male
http://dati.camera.it/ocd/persona.rdf/p11490,DANTE,BERNAMONTI,male
http://dati.camera.it/ocd/persona.rdf/p11510,SALVATORE ANGELO,GITTI,male
http://dati.camera.it/ocd/persona.rdf/p11520,EUGENIO,DUGONI,male
http://dati.camera.it/ocd/persona.rdf/p11530,FILIPPO,GUERRIERI,male
http://dati.camera.it/ocd/persona.rdf/p11550,QUIRICO,BACCELLI,male
http://dati.camera.it/ocd/persona.rdf/p11560,PRIAMO,BIGIANDI,male
http://dati.camera.it/ocd/persona.rdf/p11570,FRANCO,AIMI,male
http://dati.camera.it/ocd/persona.rdf/p11590,CORNELIO,FIETTA,male
http://dati.camera.it/ocd/persona.rdf/p11600,NATALE VASCO,JACOPONI,male
http://dati.camera.it/ocd/persona.rdf/p1160,MAURO,BUBBICO,male
http://dati.camera.it/ocd/persona.rdf/p11610,LUCIANO,MAGRINI,male
http://dati.camera.it/ocd/persona.rdf/p11640,LUIGI,ZAPPELLI,male
http://dati.camera.it/ocd/persona.rdf/p11650,ENNIO,AVANZINI,male
http://dati.camera.it/ocd/persona.rdf/p11660,BERNARDO,MATTARELLA,male
http://dati.camera.it/ocd/persona.rdf/p11680,ALCIDE,PIRAZZI MAFFIOLA,male
http://dati.camera.it/ocd/persona.rdf/p11690,CARLO,CIBOTTO,male
http://dati.camera.it/ocd/persona.rdf/p11700,ROCCO,GULLO,male
http://dati.camera.it/ocd/persona.rdf/p11710,VINCENZO,LA ROCCA,male
http://dati.camera.it/ocd/persona.rdf/p11720,GIORGIO,MASTINO DEL RIO,male
http://dati.camera.it/ocd/persona.rdf/p11730,ALFONSO,MOTOLESE,male
http://dati.camera.it/ocd/persona.rdf/p11740,LEONARDO,MICCOLIS,male
http://dati.camera.it/ocd/persona.rdf/p11750,LUIGI,VALLONE,male
http://dati.camera.it/ocd/persona.rdf/p11760,SALVATORE,SCOCA,male
http://dati.camera.it/ocd/persona.rdf/p11770,ENRICO,MINIO,male
http://dati.camera.it/ocd/persona.rdf/p11780,GIUSEPPE,GRASSI,male
http://dati.camera.it/ocd/persona.rdf/p11790,ADRIANO,BERNARDI,male
http://dati.camera.it/ocd/persona.rdf/p11800,ARTURO,BURATO,male
