"name","prizeName","year","gender","category"
"Robert E. Lucas Jr.","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1995","1995","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Seamus Heaney","The Nobel Prize in Literature 1995","1995","male","http://data.nobelprize.org/terms/Literature"
"Joseph Rotblat","The Nobel Peace Prize 1995","1995","male","http://data.nobelprize.org/terms/Peace"
"Frederick Reines","The Nobel Prize in Physics 1995","1995","male","http://data.nobelprize.org/terms/Physics"
"Martin L. Perl","The Nobel Prize in Physics 1995","1995","male","http://data.nobelprize.org/terms/Physics"
"Christiane Nüsslein-Volhard","The Nobel Prize in Physiology or Medicine 1995","1995","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Edward B. Lewis","The Nobel Prize in Physiology or Medicine 1995","1995","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Eric F. Wieschaus","The Nobel Prize in Physiology or Medicine 1995","1995","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Richard E. Smalley","The Nobel Prize in Chemistry 1996","1996","male","http://data.nobelprize.org/terms/Chemistry"
"Robert F. Curl Jr.","The Nobel Prize in Chemistry 1996","1996","male","http://data.nobelprize.org/terms/Chemistry"
"Sir Harold W. Kroto","The Nobel Prize in Chemistry 1996","1996","male","http://data.nobelprize.org/terms/Chemistry"
"James A. Mirrlees","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1996","1996","male","http://data.nobelprize.org/terms/Economic_Sciences"
"William Vickrey","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1996","1996","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Wislawa Szymborska","The Nobel Prize in Literature 1996","1996","female","http://data.nobelprize.org/terms/Literature"
"Carlos Filipe Ximenes Belo","The Nobel Peace Prize 1996","1996","male","http://data.nobelprize.org/terms/Peace"
"José Ramos-Horta","The Nobel Peace Prize 1996","1996","male","http://data.nobelprize.org/terms/Peace"
"David M. Lee","The Nobel Prize in Physics 1996","1996","male","http://data.nobelprize.org/terms/Physics"
"Douglas D. Osheroff","The Nobel Prize in Physics 1996","1996","male","http://data.nobelprize.org/terms/Physics"
"Robert C. Richardson","The Nobel Prize in Physics 1996","1996","male","http://data.nobelprize.org/terms/Physics"
"Peter C. Doherty","The Nobel Prize in Physiology or Medicine 1996","1996","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Rolf M. Zinkernagel","The Nobel Prize in Physiology or Medicine 1996","1996","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Jens C. Skou","The Nobel Prize in Chemistry 1997","1997","male","http://data.nobelprize.org/terms/Chemistry"
"John E. Walker","The Nobel Prize in Chemistry 1997","1997","male","http://data.nobelprize.org/terms/Chemistry"
"Paul D. Boyer","The Nobel Prize in Chemistry 1997","1997","male","http://data.nobelprize.org/terms/Chemistry"
"Myron S. Scholes","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1997","1997","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Robert C. Merton","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1997","1997","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Dario Fo","The Nobel Prize in Literature 1997","1997","male","http://data.nobelprize.org/terms/Literature"
"Jody Williams","The Nobel Peace Prize 1997","1997","female","http://data.nobelprize.org/terms/Peace"
"Claude Cohen-Tannoudji","The Nobel Prize in Physics 1997","1997","male","http://data.nobelprize.org/terms/Physics"
"Steven Chu","The Nobel Prize in Physics 1997","1997","male","http://data.nobelprize.org/terms/Physics"
"William D. Phillips","The Nobel Prize in Physics 1997","1997","male","http://data.nobelprize.org/terms/Physics"
"Stanley B. Prusiner","The Nobel Prize in Physiology or Medicine 1997","1997","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"John A. Pople","The Nobel Prize in Chemistry 1998","1998","male","http://data.nobelprize.org/terms/Chemistry"
"Walter Kohn","The Nobel Prize in Chemistry 1998","1998","male","http://data.nobelprize.org/terms/Chemistry"
"Amartya Sen","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1998","1998","male","http://data.nobelprize.org/terms/Economic_Sciences"
"José Saramago","The Nobel Prize in Literature 1998","1998","male","http://data.nobelprize.org/terms/Literature"
"David Trimble","The Nobel Peace Prize 1998","1998","male","http://data.nobelprize.org/terms/Peace"
"John Hume","The Nobel Peace Prize 1998","1998","male","http://data.nobelprize.org/terms/Peace"
"Daniel C. Tsui","The Nobel Prize in Physics 1998","1998","male","http://data.nobelprize.org/terms/Physics"
"Horst L. Störmer","The Nobel Prize in Physics 1998","1998","male","http://data.nobelprize.org/terms/Physics"
"Robert B. Laughlin","The Nobel Prize in Physics 1998","1998","male","http://data.nobelprize.org/terms/Physics"
"Ferid Murad","The Nobel Prize in Physiology or Medicine 1998","1998","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Louis J. Ignarro","The Nobel Prize in Physiology or Medicine 1998","1998","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Robert F. Furchgott","The Nobel Prize in Physiology or Medicine 1998","1998","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Ahmed H. Zewail","The Nobel Prize in Chemistry 1999","1999","male","http://data.nobelprize.org/terms/Chemistry"
"Robert A. Mundell","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1999","1999","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Günter Grass","The Nobel Prize in Literature 1999","1999","male","http://data.nobelprize.org/terms/Literature"
"Gerardus 't Hooft","The Nobel Prize in Physics 1999","1999","male","http://data.nobelprize.org/terms/Physics"
"Martinus J.G. Veltman","The Nobel Prize in Physics 1999","1999","male","http://data.nobelprize.org/terms/Physics"
"Günter Blobel","The Nobel Prize in Physiology or Medicine 1999","1999","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Alan G. MacDiarmid","The Nobel Prize in Chemistry 2000","2000","male","http://data.nobelprize.org/terms/Chemistry"
"Alan J. Heeger","The Nobel Prize in Chemistry 2000","2000","male","http://data.nobelprize.org/terms/Chemistry"
"Hideki Shirakawa","The Nobel Prize in Chemistry 2000","2000","male","http://data.nobelprize.org/terms/Chemistry"
"Daniel L. McFadden","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2000","2000","male","http://data.nobelprize.org/terms/Economic_Sciences"
"James J. Heckman","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2000","2000","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Gao Xingjian","The Nobel Prize in Literature 2000","2000","male","http://data.nobelprize.org/terms/Literature"
"Kim Dae-jung","The Nobel Peace Prize 2000","2000","male","http://data.nobelprize.org/terms/Peace"
"Herbert Kroemer","The Nobel Prize in Physics 2000","2000","male","http://data.nobelprize.org/terms/Physics"
"Jack S. Kilby","The Nobel Prize in Physics 2000","2000","male","http://data.nobelprize.org/terms/Physics"
"Zhores I. Alferov","The Nobel Prize in Physics 2000","2000","male","http://data.nobelprize.org/terms/Physics"
"Arvid Carlsson","The Nobel Prize in Physiology or Medicine 2000","2000","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Eric R. Kandel","The Nobel Prize in Physiology or Medicine 2000","2000","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Paul Greengard","The Nobel Prize in Physiology or Medicine 2000","2000","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"K. Barry Sharpless","The Nobel Prize in Chemistry 2001","2001","male","http://data.nobelprize.org/terms/Chemistry"
"Ryoji Noyori","The Nobel Prize in Chemistry 2001","2001","male","http://data.nobelprize.org/terms/Chemistry"
"William S. Knowles","The Nobel Prize in Chemistry 2001","2001","male","http://data.nobelprize.org/terms/Chemistry"
"A. Michael Spence","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001","2001","male","http://data.nobelprize.org/terms/Economic_Sciences"
"George A. Akerlof","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001","2001","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Joseph E. Stiglitz","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2001","2001","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Sir Vidiadhar Surajprasad Naipaul","The Nobel Prize in Literature 2001","2001","male","http://data.nobelprize.org/terms/Literature"
"Kofi Atta Annan","The Nobel Peace Prize 2001","2001","male","http://data.nobelprize.org/terms/Peace"
"Carl E. Wieman","The Nobel Prize in Physics 2001","2001","male","http://data.nobelprize.org/terms/Physics"
"Eric A. Cornell","The Nobel Prize in Physics 2001","2001","male","http://data.nobelprize.org/terms/Physics"
"Wolfgang Ketterle","The Nobel Prize in Physics 2001","2001","male","http://data.nobelprize.org/terms/Physics"
"Leland H. Hartwell","The Nobel Prize in Physiology or Medicine 2001","2001","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sir Paul M. Nurse","The Nobel Prize in Physiology or Medicine 2001","2001","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Tim Hunt","The Nobel Prize in Physiology or Medicine 2001","2001","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"John B. Fenn","The Nobel Prize in Chemistry 2002","2002","male","http://data.nobelprize.org/terms/Chemistry"
"Koichi Tanaka","The Nobel Prize in Chemistry 2002","2002","male","http://data.nobelprize.org/terms/Chemistry"
"Kurt Wüthrich","The Nobel Prize in Chemistry 2002","2002","male","http://data.nobelprize.org/terms/Chemistry"
"Daniel Kahneman","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2002","2002","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Vernon L. Smith","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2002","2002","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Imre Kertész","The Nobel Prize in Literature 2002","2002","male","http://data.nobelprize.org/terms/Literature"
"James Earl Carter","The Nobel Peace Prize 2002","2002","male","http://data.nobelprize.org/terms/Peace"
"Masatoshi Koshiba","The Nobel Prize in Physics 2002","2002","male","http://data.nobelprize.org/terms/Physics"
"Raymond Davis Jr.","The Nobel Prize in Physics 2002","2002","male","http://data.nobelprize.org/terms/Physics"
"Riccardo Giacconi","The Nobel Prize in Physics 2002","2002","male","http://data.nobelprize.org/terms/Physics"
"H. Robert Horvitz","The Nobel Prize in Physiology or Medicine 2002","2002","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"John E. Sulston","The Nobel Prize in Physiology or Medicine 2002","2002","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sydney Brenner","The Nobel Prize in Physiology or Medicine 2002","2002","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Peter Agre","The Nobel Prize in Chemistry 2003","2003","male","http://data.nobelprize.org/terms/Chemistry"
"Roderick MacKinnon","The Nobel Prize in Chemistry 2003","2003","male","http://data.nobelprize.org/terms/Chemistry"
"Clive W.J. Granger","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2003","2003","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Robert F. Engle III","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2003","2003","male","http://data.nobelprize.org/terms/Economic_Sciences"
"John M. Coetzee","The Nobel Prize in Literature 2003","2003","male","http://data.nobelprize.org/terms/Literature"
"Shirin Ebadi","The Nobel Peace Prize 2003","2003","female","http://data.nobelprize.org/terms/Peace"
"Alexei Alexeyevich Abrikosov","The Nobel Prize in Physics 2003","2003","male","http://data.nobelprize.org/terms/Physics"
"Anthony J. Leggett","The Nobel Prize in Physics 2003","2003","male","http://data.nobelprize.org/terms/Physics"
"Vitaly Lazarevich Ginzburg","The Nobel Prize in Physics 2003","2003","male","http://data.nobelprize.org/terms/Physics"
"Paul C. Lauterbur","The Nobel Prize in Physiology or Medicine 2003","2003","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sir Peter Mansfield","The Nobel Prize in Physiology or Medicine 2003","2003","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Aaron Ciechanover","The Nobel Prize in Chemistry 2004","2004","male","http://data.nobelprize.org/terms/Chemistry"
"Avram Hershko","The Nobel Prize in Chemistry 2004","2004","male","http://data.nobelprize.org/terms/Chemistry"
"Irwin Rose","The Nobel Prize in Chemistry 2004","2004","male","http://data.nobelprize.org/terms/Chemistry"
"Edward C. Prescott","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2004","2004","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Finn E. Kydland","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2004","2004","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Elfriede Jelinek","The Nobel Prize in Literature 2004","2004","female","http://data.nobelprize.org/terms/Literature"
"Wangari Muta Maathai","The Nobel Peace Prize 2004","2004","female","http://data.nobelprize.org/terms/Peace"
"David J. Gross","The Nobel Prize in Physics 2004","2004","male","http://data.nobelprize.org/terms/Physics"
"Frank Wilczek","The Nobel Prize in Physics 2004","2004","male","http://data.nobelprize.org/terms/Physics"
"H. David Politzer","The Nobel Prize in Physics 2004","2004","male","http://data.nobelprize.org/terms/Physics"
"Linda B. Buck","The Nobel Prize in Physiology or Medicine 2004","2004","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Richard Axel","The Nobel Prize in Physiology or Medicine 2004","2004","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Richard R. Schrock","The Nobel Prize in Chemistry 2005","2005","male","http://data.nobelprize.org/terms/Chemistry"
"Robert H. Grubbs","The Nobel Prize in Chemistry 2005","2005","male","http://data.nobelprize.org/terms/Chemistry"
"Yves Chauvin","The Nobel Prize in Chemistry 2005","2005","male","http://data.nobelprize.org/terms/Chemistry"
"Robert J. Aumann","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2005","2005","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Thomas C. Schelling","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2005","2005","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Harold Pinter","The Nobel Prize in Literature 2005","2005","male","http://data.nobelprize.org/terms/Literature"
"Mohamed ElBaradei","The Nobel Peace Prize 2005","2005","male","http://data.nobelprize.org/terms/Peace"
"John L. Hall","The Nobel Prize in Physics 2005","2005","male","http://data.nobelprize.org/terms/Physics"
"Roy J. Glauber","The Nobel Prize in Physics 2005","2005","male","http://data.nobelprize.org/terms/Physics"
"Theodor W. Hänsch","The Nobel Prize in Physics 2005","2005","male","http://data.nobelprize.org/terms/Physics"
"Barry J. Marshall","The Nobel Prize in Physiology or Medicine 2005","2005","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"J. Robin Warren","The Nobel Prize in Physiology or Medicine 2005","2005","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Roger D. Kornberg","The Nobel Prize in Chemistry 2006","2006","male","http://data.nobelprize.org/terms/Chemistry"
"Edmund S. Phelps","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2006","2006","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Orhan Pamuk","The Nobel Prize in Literature 2006","2006","male","http://data.nobelprize.org/terms/Literature"
"Muhammad Yunus","The Nobel Peace Prize 2006","2006","male","http://data.nobelprize.org/terms/Peace"
"George F. Smoot","The Nobel Prize in Physics 2006","2006","male","http://data.nobelprize.org/terms/Physics"
"John C. Mather","The Nobel Prize in Physics 2006","2006","male","http://data.nobelprize.org/terms/Physics"
"Andrew Z. Fire","The Nobel Prize in Physiology or Medicine 2006","2006","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Craig C. Mello","The Nobel Prize in Physiology or Medicine 2006","2006","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Gerhard Ertl","The Nobel Prize in Chemistry 2007","2007","male","http://data.nobelprize.org/terms/Chemistry"
"Eric S. Maskin","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2007","2007","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Leonid Hurwicz","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2007","2007","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Roger B. Myerson","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2007","2007","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Doris Lessing","The Nobel Prize in Literature 2007","2007","female","http://data.nobelprize.org/terms/Literature"
"Albert Arnold (Al) Gore Jr.","The Nobel Peace Prize 2007","2007","male","http://data.nobelprize.org/terms/Peace"
"Albert Fert","The Nobel Prize in Physics 2007","2007","male","http://data.nobelprize.org/terms/Physics"
"Peter Grünberg","The Nobel Prize in Physics 2007","2007","male","http://data.nobelprize.org/terms/Physics"
"Mario R. Capecchi","The Nobel Prize in Physiology or Medicine 2007","2007","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Oliver Smithies","The Nobel Prize in Physiology or Medicine 2007","2007","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sir Martin J. Evans","The Nobel Prize in Physiology or Medicine 2007","2007","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Martin Chalfie","The Nobel Prize in Chemistry 2008","2008","male","http://data.nobelprize.org/terms/Chemistry"
"Osamu Shimomura","The Nobel Prize in Chemistry 2008","2008","male","http://data.nobelprize.org/terms/Chemistry"
"Roger Y. Tsien","The Nobel Prize in Chemistry 2008","2008","male","http://data.nobelprize.org/terms/Chemistry"
"Paul Krugman","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2008","2008","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Jean-Marie Gustave Le Clézio","The Nobel Prize in Literature 2008","2008","male","http://data.nobelprize.org/terms/Literature"
"Martti Ahtisaari","The Nobel Peace Prize 2008","2008","male","http://data.nobelprize.org/terms/Peace"
"Makoto Kobayashi","The Nobel Prize in Physics 2008","2008","male","http://data.nobelprize.org/terms/Physics"
"Toshihide Maskawa","The Nobel Prize in Physics 2008","2008","male","http://data.nobelprize.org/terms/Physics"
"Yoichiro Nambu","The Nobel Prize in Physics 2008","2008","male","http://data.nobelprize.org/terms/Physics"
"Françoise Barré-Sinoussi","The Nobel Prize in Physiology or Medicine 2008","2008","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Harald zur Hausen","The Nobel Prize in Physiology or Medicine 2008","2008","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Luc Montagnier","The Nobel Prize in Physiology or Medicine 2008","2008","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Ada E. Yonath","The Nobel Prize in Chemistry 2009","2009","female","http://data.nobelprize.org/terms/Chemistry"
"Thomas A. Steitz","The Nobel Prize in Chemistry 2009","2009","male","http://data.nobelprize.org/terms/Chemistry"
"Venkatraman Ramakrishnan","The Nobel Prize in Chemistry 2009","2009","male","http://data.nobelprize.org/terms/Chemistry"
"Elinor Ostrom","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2009","2009","female","http://data.nobelprize.org/terms/Economic_Sciences"
"Oliver E. Williamson","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2009","2009","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Herta Müller","The Nobel Prize in Literature 2009","2009","female","http://data.nobelprize.org/terms/Literature"
"Barack Hussein Obama","The Nobel Peace Prize 2009","2009","male","http://data.nobelprize.org/terms/Peace"
"Charles Kuen Kao","The Nobel Prize in Physics 2009","2009","male","http://data.nobelprize.org/terms/Physics"
"George E. Smith","The Nobel Prize in Physics 2009","2009","male","http://data.nobelprize.org/terms/Physics"
"Willard S. Boyle","The Nobel Prize in Physics 2009","2009","male","http://data.nobelprize.org/terms/Physics"
"Carol W. Greider","The Nobel Prize in Physiology or Medicine 2009","2009","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Elizabeth H. Blackburn","The Nobel Prize in Physiology or Medicine 2009","2009","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Jack W. Szostak","The Nobel Prize in Physiology or Medicine 2009","2009","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Akira Suzuki","The Nobel Prize in Chemistry 2010","2010","male","http://data.nobelprize.org/terms/Chemistry"
"Ei-ichi Negishi","The Nobel Prize in Chemistry 2010","2010","male","http://data.nobelprize.org/terms/Chemistry"
"Richard F. Heck","The Nobel Prize in Chemistry 2010","2010","male","http://data.nobelprize.org/terms/Chemistry"
"Christopher A. Pissarides","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2010","2010","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Dale T. Mortensen","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2010","2010","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Peter A. Diamond","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2010","2010","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Mario Vargas Llosa","The Nobel Prize in Literature 2010","2010","male","http://data.nobelprize.org/terms/Literature"
"Liu Xiaobo","The Nobel Peace Prize 2010","2010","male","http://data.nobelprize.org/terms/Peace"
"Andre Geim","The Nobel Prize in Physics 2010","2010","male","http://data.nobelprize.org/terms/Physics"
"Konstantin Novoselov","The Nobel Prize in Physics 2010","2010","male","http://data.nobelprize.org/terms/Physics"
"Robert G. Edwards","The Nobel Prize in Physiology or Medicine 2010","2010","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Dan Shechtman","The Nobel Prize in Chemistry 2011","2011","male","http://data.nobelprize.org/terms/Chemistry"
"Christopher A. Sims","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2011","2011","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Thomas J. Sargent","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2011","2011","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Tomas Tranströmer","The Nobel Prize in Literature 2011","2011","male","http://data.nobelprize.org/terms/Literature"
"Ellen Johnson Sirleaf","The Nobel Peace Prize 2011","2011","female","http://data.nobelprize.org/terms/Peace"
"Leymah Gbowee","The Nobel Peace Prize 2011","2011","female","http://data.nobelprize.org/terms/Peace"
"Tawakkol Karman","The Nobel Peace Prize 2011","2011","female","http://data.nobelprize.org/terms/Peace"
"Adam G. Riess","The Nobel Prize in Physics 2011","2011","male","http://data.nobelprize.org/terms/Physics"
"Brian P. Schmidt","The Nobel Prize in Physics 2011","2011","male","http://data.nobelprize.org/terms/Physics"
"Saul Perlmutter","The Nobel Prize in Physics 2011","2011","male","http://data.nobelprize.org/terms/Physics"
"Bruce A. Beutler","The Nobel Prize in Physiology or Medicine 2011","2011","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Jules A. Hoffmann","The Nobel Prize in Physiology or Medicine 2011","2011","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Ralph M. Steinman","The Nobel Prize in Physiology or Medicine 2011","2011","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Brian K. Kobilka","The Nobel Prize in Chemistry 2012","2012","male","http://data.nobelprize.org/terms/Chemistry"
"Robert J. Lefkowitz","The Nobel Prize in Chemistry 2012","2012","male","http://data.nobelprize.org/terms/Chemistry"
"Alvin E. Roth","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2012","2012","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Lloyd S. Shapley","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2012","2012","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Mo Yan","The Nobel Prize in Literature 2012","2012","male","http://data.nobelprize.org/terms/Literature"
"David J. Wineland","The Nobel Prize in Physics 2012","2012","male","http://data.nobelprize.org/terms/Physics"
"Serge Haroche","The Nobel Prize in Physics 2012","2012","male","http://data.nobelprize.org/terms/Physics"
"Shinya Yamanaka","The Nobel Prize in Physiology or Medicine 2012","2012","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Sir John B. Gurdon","The Nobel Prize in Physiology or Medicine 2012","2012","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Arieh Warshel","The Nobel Prize in Chemistry 2013","2013","male","http://data.nobelprize.org/terms/Chemistry"
"Martin Karplus","The Nobel Prize in Chemistry 2013","2013","male","http://data.nobelprize.org/terms/Chemistry"
"Michael Levitt","The Nobel Prize in Chemistry 2013","2013","male","http://data.nobelprize.org/terms/Chemistry"
"Eugene F. Fama","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2013","2013","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Lars Peter Hansen","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2013","2013","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Robert J. Shiller","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2013","2013","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Alice Munro","The Nobel Prize in Literature 2013","2013","female","http://data.nobelprize.org/terms/Literature"
"François Englert","The Nobel Prize in Physics 2013","2013","male","http://data.nobelprize.org/terms/Physics"
"Peter W. Higgs","The Nobel Prize in Physics 2013","2013","male","http://data.nobelprize.org/terms/Physics"
"James E. Rothman","The Nobel Prize in Physiology or Medicine 2013","2013","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Randy W. Schekman","The Nobel Prize in Physiology or Medicine 2013","2013","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Thomas C. Südhof","The Nobel Prize in Physiology or Medicine 2013","2013","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Eric Betzig","The Nobel Prize in Chemistry 2014","2014","male","http://data.nobelprize.org/terms/Chemistry"
"Stefan W. Hell","The Nobel Prize in Chemistry 2014","2014","male","http://data.nobelprize.org/terms/Chemistry"
"William E. Moerner","The Nobel Prize in Chemistry 2014","2014","male","http://data.nobelprize.org/terms/Chemistry"
"Jean Tirole","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2014","2014","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Patrick Modiano","The Nobel Prize in Literature 2014","2014","male","http://data.nobelprize.org/terms/Literature"
"Malala Yousafzai","The Nobel Peace Prize 2014","2014","female","http://data.nobelprize.org/terms/Peace"
"Kailash Satyarthi","The Nobel Peace Prize 2014","2014","male","http://data.nobelprize.org/terms/Peace"
"Hiroshi Amano","The Nobel Prize in Physics 2014","2014","male","http://data.nobelprize.org/terms/Physics"
"Isamu Akasaki","The Nobel Prize in Physics 2014","2014","male","http://data.nobelprize.org/terms/Physics"
"Shuji Nakamura","The Nobel Prize in Physics 2014","2014","male","http://data.nobelprize.org/terms/Physics"
"May-Britt Moser","The Nobel Prize in Physiology or Medicine 2014","2014","female","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Edvard I. Moser","The Nobel Prize in Physiology or Medicine 2014","2014","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"John O'Keefe","The Nobel Prize in Physiology or Medicine 2014","2014","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Aziz Sancar","The Nobel Prize in Chemistry 2015","2015","male","http://data.nobelprize.org/terms/Chemistry"
"Paul Modrich","The Nobel Prize in Chemistry 2015","2015","male","http://data.nobelprize.org/terms/Chemistry"
"Tomas Lindahl","The Nobel Prize in Chemistry 2015","2015","male","http://data.nobelprize.org/terms/Chemistry"
"Angus Deaton","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 2015","2015","male","http://data.nobelprize.org/terms/Economic_Sciences"
