"name","prizeName","year","gender","category"
"Roger Guillemin","The Nobel Prize in Physiology or Medicine 1977","1977","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Peter D. Mitchell","The Nobel Prize in Chemistry 1978","1978","male","http://data.nobelprize.org/terms/Chemistry"
"Herbert A. Simon","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1978","1978","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Isaac Bashevis Singer","The Nobel Prize in Literature 1978","1978","male","http://data.nobelprize.org/terms/Literature"
"Menachem Begin","The Nobel Peace Prize 1978","1978","male","http://data.nobelprize.org/terms/Peace"
"Mohamed Anwar al-Sadat","The Nobel Peace Prize 1978","1978","male","http://data.nobelprize.org/terms/Peace"
"Arno Allan Penzias","The Nobel Prize in Physics 1978","1978","male","http://data.nobelprize.org/terms/Physics"
"Pyotr Leonidovich Kapitsa","The Nobel Prize in Physics 1978","1978","male","http://data.nobelprize.org/terms/Physics"
"Robert Woodrow Wilson","The Nobel Prize in Physics 1978","1978","male","http://data.nobelprize.org/terms/Physics"
"Daniel Nathans","The Nobel Prize in Physiology or Medicine 1978","1978","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Hamilton O. Smith","The Nobel Prize in Physiology or Medicine 1978","1978","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Werner Arber","The Nobel Prize in Physiology or Medicine 1978","1978","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Georg Wittig","The Nobel Prize in Chemistry 1979","1979","male","http://data.nobelprize.org/terms/Chemistry"
"Herbert C. Brown","The Nobel Prize in Chemistry 1979","1979","male","http://data.nobelprize.org/terms/Chemistry"
"Sir Arthur Lewis","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1979","1979","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Theodore W. Schultz","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1979","1979","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Odysseus Elytis","The Nobel Prize in Literature 1979","1979","male","http://data.nobelprize.org/terms/Literature"
"Mother Teresa","The Nobel Peace Prize 1979","1979","female","http://data.nobelprize.org/terms/Peace"
"Abdus Salam","The Nobel Prize in Physics 1979","1979","male","http://data.nobelprize.org/terms/Physics"
"Sheldon Lee Glashow","The Nobel Prize in Physics 1979","1979","male","http://data.nobelprize.org/terms/Physics"
"Steven Weinberg","The Nobel Prize in Physics 1979","1979","male","http://data.nobelprize.org/terms/Physics"
"Allan M. Cormack","The Nobel Prize in Physiology or Medicine 1979","1979","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Godfrey N. Hounsfield","The Nobel Prize in Physiology or Medicine 1979","1979","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Frederick Sanger","The Nobel Prize in Chemistry 1980","1980","male","http://data.nobelprize.org/terms/Chemistry"
"Paul Berg","The Nobel Prize in Chemistry 1980","1980","male","http://data.nobelprize.org/terms/Chemistry"
"Walter Gilbert","The Nobel Prize in Chemistry 1980","1980","male","http://data.nobelprize.org/terms/Chemistry"
"Lawrence R. Klein","The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1980","1980","male","http://data.nobelprize.org/terms/Economic_Sciences"
"Czeslaw Milosz","The Nobel Prize in Literature 1980","1980","male","http://data.nobelprize.org/terms/Literature"
"Adolfo Pérez Esquivel","The Nobel Peace Prize 1980","1980","male","http://data.nobelprize.org/terms/Peace"
"James Watson Cronin","The Nobel Prize in Physics 1980","1980","male","http://data.nobelprize.org/terms/Physics"
"Val Logsdon Fitch","The Nobel Prize in Physics 1980","1980","male","http://data.nobelprize.org/terms/Physics"
"Baruj Benacerraf","The Nobel Prize in Physiology or Medicine 1980","1980","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"George D. Snell","The Nobel Prize in Physiology or Medicine 1980","1980","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Jean Dausset","The Nobel Prize in Physiology or Medicine 1980","1980","male","http://data.nobelprize.org/terms/Physiology_or_Medicine"
"Kenichi Fukui","The Nobel Prize in Chemistry 1981","1981","male","http://data.nobelprize.org/terms/Chemistry"
"Roald Hoffmann","The Nobel Prize in Chemistry 1981","1981","male","http://data.nobelprize.org/terms/Chemistry"
