Persona,gender,graduated
Pasquale_Lamorte,male,no
Lucio_Magri,male,no
Manfredo_Manfredi,male,no
Mario_Martinelli,male,no
Gino_Cesaroni,male,no
Silverio_Corvisieri,male,no
Mario_Cravedi,male,no
Emo_Danesi,male,no
Francesco_Da_Prato,male,no
Mazarino_Marco_De_Petro,male,no
Adolfo_Facchini,male,no
Giovanni_Fantaci,male,no
Guido_Fanti,male,no
Nevio_Felicetti,male,no
Luciano_Forni,male,no
Salvatore_Forte,male,no
Giuseppe_Fortunato,male,no
Hugo_Gamper,male,no
Raffaele_Giuseppe_Carmelo_Giura_Longo,male,no
Lelio_Grassucci,male,no
Gennaro_Guadagno,male,no
Enrico_Gualandi,male,no
Nazzareno_Guasso,male,no
Paolo_Guerrini,male,no
Guido_Ianni,male,no
Salvatore_La_Rocca,male,no
Pier_Giorgio_Licheri,male,no
Francesco_Lussignoli,male,no
Virginiangelo_Marabini,male,no
Andrea_Margheri,male,no
Fiorenzo_Maroli,male,no
Leopoldo_Attilio_Martino,male,no
Aldo_Cetrullo,male,no
Amleto_Monsellato,male,no
Vito_Napoli,male,no
Achille_Occhetto,male,no
Gianmario_Pellizzari,male,no
Elio_Quercioli,male,no
Antonio_Rubbi,male,no
Alberto_Ciampaglia,male,no
Angelo_Tiraboschi,male,no
Mario_Cirillo,male,no
Bruno_Zambon,male,no
Giuseppe_Zuech,male,no
Carlo_Ricca,male,no
Alessandro_Butte',male,no
Vittorino_Carra,male,no
Ferruccio_Biagini,male,no
Bruno_Stegagnini,male,no
Angelo_Landi,male,no
Liberato_Bronzuto,male,no
Paolo_Alatri,male,no
Mauro_Seppia,male,no
Elio_Fregonese,male,no
Walter_Alini,male,no
Francesco_Loperfido,male,no
Angelo_Abenante,male,no
Vittorio_Aicardi,male,no
Adelio_Albarello,male,no
Pio_Alessandrini,male,no
Silvio_Antonini,male,no
Silvano_Armaroli,male,no
Walter_Audisio,male,no
Pierino_Azimonti,male,no
Alfredo_Baldani_Guerra,male,no
Anelito_Barontini,male,no
Francesco_Colucci,male,no
Mario_Bettoli,male,no
Uberto_Bonino,male,no
Domenico_Borraccino,male,no
Luigi_Matrone,male,no
Silvio_Miana,male,no
Vito_Miceli,male,no
Giovanni_Migliorini,male,no
Armelino_Milani,male,no
Ruggero_Millet,male,no
Giorgio_Mondino,male,no
Saverio_Monteleone,male,no
Renzo_Moschini,male,no
Claudio_Napoleoni,male,no
Umberto_Chiacchio,male,no
Mauro_Olivi,male,no
Giuseppe_Orlando,male,no
Francesco_Ottaviano,male,no
Domenico_Petrella,male,no
Giampiero_Pucciarini,male,no
Emilio_Pugno,male,no
Carlo_Ramella,male,no
Aurelio_Ciacci,male,no
Giovanni_Rossino,male,no
Armando_Sarti,male,no
Mauro_Savino,male,no
Tommaso_Sicolo,male,no
Agostino_Spataro,male,no
Altiero_Spinelli,male,no
Giuseppe_Sposetti,male,no
Rolando_Tamburini,male,no
Nadir_Tedeschi,male,no
Aristide_Tesini,male,no
Francesco_Toni,male,no
Giovanni_Torri,male,no
Aldo_Tozzetti,male,no
Giuseppe_Siro_Trezzini,male,no
Antonio_Zavagnin,male,no
Domenico_Pinto,male,no
Michele_Cassano,male,no
Casimiro_Bonfiglio,male,no
Emidio_Bruni,male,no
Giuseppe_Bufardeci,male,no
Primo_Buzzetti,male,no
Osvaldo_Cagnasso,male,no
Marino_Calvaresi,male,no
Ettore_Calvi,male,no
Francesco_Candelli,male,no
Giulio_Cerreti,male,no
Ennio_Cervellati,male,no
Alarico_Carrassi,male,no
Vincenzo_Casati,male,no
Onorio_Cengarle,male,no
Aurelio_Colleoni,male,no
Arturo_Raffaello_Colombi,male,no
Renato_Colombo,male,no
Angelo_Compagnoni,male,no
Fernando_De_Marzi,male,no
Luigi_Di_Paolantonio,male,no
Giuseppe_Golinelli,male,no
Ezio_Maria_Gray,male,no
Fausto_Maria_Liberatore,male,no
Dino_Limoni,male,no
Carlo_Lombardi,male,no
Orlando_Lucchi,male,no
Andrea_Marabini,male,no
Spartaco_Marangoni,male,no
Michele_Martina,male,no
Silvio_Mello_Grand,male,no
Alessandro_Menchinelli,male,no
Mario_Montagnana,male,no
Otello_Montanari,male,no
Francesco_Moranino,male,no
Benedetto_Craxi,male,no
Pietro_Nenni,male,no
Adolfo_Loris_Cristofori,male,no
Narciso_Franco_Patrini,male,no
Secondo_Pessi,male,no
Luigi_Polano,male,no
Anselmo_Pucci,male,no
Antonio_Roasio,male,no
Antonio_Romeo,male,no
Luigi_Ruggeri,male,no
Walter_Sacchetti,male,no
Enrico_Sailis,male,no
Ezio_Santarelli,male,no
Remo_Scappini,male,no
Sergio_Scarpa,male,no
Franco_Bonferroni,male,no
Giorgio_Bornacin,male,no
Francesco_Bosi,male,no
Giuseppe_Camo,male,no
Bruno_Cazzaro,male,no
Francesco_Scotti,male,no
Stefano_Cusumano,male,no
Riccardo_De_Corato,male,no
Giovanni_Lorenzo_Forcieri,male,no
Nicola_Fusillo,male,no
Basilio_Germana',male,no
Francesco_Ferrarotti,male,no
Carlo_Ceruti,male,no
Ivone_Chinello,male,no
Giovanni_Casola,male,no
Renato_Cebrelli,male,no
Domenico_Conte,male,no
Vito_Damico,male,no
Vincenzo_Corghi,male,no
Giuseppe_De_Grazia,male,no
Giancarlo_Ferri,male,no
Beniamino_Finocchiaro,male,no
Gaetano_Illuminati,male,no
Giuseppe_Costamagna,male,no
Nello_Lusoli,male,no
Attilio_Manenti,male,no
Dario_Mengozzi,male,no
Vittorio_Naldini,male,no
Renato_Ognibene,male,no
Vasco_Palazzeschi,male,no
Ennio_Palmitessa,male,no
Franco_Pasini,male,no
Sergio_Cuminetti,male,no
Pasquale_Poerio,male,no
Giulio_Cesare_Polotti,male,no
Gianfranco_Rossinovich,male,no
Mauro_Santoni,male,no
Aldo_D'alessio,male,no
Luigi_Covatta,male,no
Loris_Scricciolo,male,no
Michele_Florino,male,no
Elio_Fontana,male,no
Antonino_Senese,male,no
Luigi_Granelli,male,no
Francesco_Soliano,male,no
Riccardo_Minardo,male,no
Pasquale_Specchio,male,no
Cesare_Pozzo,male,no
Aldo_Preda,male,no
Carlo_Rognoni,male,no
Ugo_Sposetti,male,no
Vincenzo_Squicciarini,male,no
Leo_Valiani,male,no
Luigi_Tagliaferri,male,no
Luigi_Borsari,male,no
Giuseppe_Togni,male,no
Giusto_Tolloy,male,no
Mario_Toros,male,no
Attilio_Trebbi,male,no
Gianni_Usvardi,male,no
Salvatore_Valitutti,male,no
Alcide_Vecchi,male,no
Luigi_D'angelo,male,no
Giorgio_Vestri,male,no
Vittorio_Vidali,male,no
Roberto_Cicciomessere,male,no
Massimo_Abbatangelo,male,no
Natale_Amodeo,male,no
Vitale_Artese,male,no
Paolo_Babbini,male,no
Antonio_D'auria,male,no
Giancarlo_Binelli,male,no
Felice_Borgoglio,male,no
Silvano_Costi,male,no
Mario_Dal_Castello,male,no
Giuseppe_Degennaro,male,no
Enrico_Ermelli_Cupelli,male,no
Luciano_Faraguti,male,no
Luigi_Foti,male,no
Giorgio_Gangi,male,no
Andrea_Geremicca,male,no
Alfonso_Gianni,male,no
Dino_Madaudo,male,no
Viller_Manfredini,male,no
Ugo_Martinat,male,no
Rino_Serri,male,no
Alfredo_Erpete,male,no
Angelo_Pezzana,male,no
Giulio_Bellini,male,no
Antonio_Bernardi,male,no
Luigi_Boggio,male,no
Luigi_Buccico,male,no
Vasco_Calonaci,male,no
Giuseppe_Ceni,male,no
Giovanni_Cuojati,male,no
Domenico_De_Simone,male,no
Riccardo_Di_Corato,male,no
Arnaldo_Di_Giovanni,male,no
Orlando_Fabbri,male,no
Antonio_Falconio,male,no
Baldassarre_Furnari,male,no
Giovanni_Gaiti,male,no
Mario_Giuliano,male,no
Giuliano_Gradi,male,no
Michele_Graduata,male,no
Domenico_Mennitti,male,no
Giovanni_Motetta,male,no
Giovanni_Nonne,male,no
Giovanni_Pellegatta,male,no
Franco_Proietti,male,no
Mario_Raffaelli,male,no
Gianni_Ravaglia,male,no
Giuseppe_Rubinacci,male,no
Ermido_Santi,male,no
Nino_Sospiri,male,no
Luigi_Silvestro_Anderlini,male,no
Gianfranco_Tagliabue,male,no
Ferruccio_De_Michieli_Vitturi,male,no
Michele_Viscardi,male,no
Riccardo_Ravagnan,male,no
Agostino_Novella,male,no
Novello_Pallanti,male,no
Renzo_De_Vidovich,male,no
Paolo_Tringali,male,no
Renato_Alpini,male,no
Gianfranco_Astori,male,no
Michele_Di_Giesi,male,no
Nedo_Barzanti,male,no
Mario_Vincenzo_Di_Gioia,male,no
Gianfrancesco_Borghini,male,no
Riccardo_Bruzzani,male,no
Luigi_Bulleri,male,no
Severino_Lucano_Cannelonga,male,no
Milziade_Silvio_Caprili,male,no
Luigi_Castagnola,male,no
Antonio_Ciancio,male,no
Sergio_Coloni,male,no
Giuseppe_Crippa,male,no
Francesco_De_Carli,male,no
Marcello_Di_Puccio,male,no
Renato_Donazzon,male,no
Franco_Fausti,male,no
Giovanni_Ferrara,male,no
Giulio_Ferrarini,male,no
Carlo_Donat_Cattin,male,no
Enrico_Menziani,male,no
Alessio_Pasquini,male,no
Giuseppe_Pierino,male,no
Franco_Politano,male,no
Salvatore_Rindone,male,no
Francesco_Roccella,male,no
Angelo_Satanassi,male,no
Leonardo_Sciascia,male,no
Giuseppe_Vignola,male,no
Biagio_Virgili,male,no
Antonio_Zanforlin,male,no
Paolo_Zanini,male,no
Pio_Baldelli,male,no
Aldo_Gandolfi,male,no
Luca_Pavolini,male,no
Livio_Boncompagni,male,no
Silvio_Antonellis,male,no
Ercoliano_Monesi,male,no
Giovanni_Alasia,male,no
Luigi_Arisio,male,no
Andrea_Barbato,male,no
Mario_Birardi,male,no
Alfio_Brina,male,no
Paolo_Emilio_Ciofi_Degli_Atti,male,no
Alfredo_Comis,male,no
Ferruccio_Danini,male,no
Sergio_Dardini,male,no
Mario_Di_Bartolomei,male,no
Luciano_Falcier,male,no
Vincenzo_Fanto',male,no
Costantino_Fittante,male,no
Roberto_Franchi,male,no
Elio_Gabbuggiani,male,no
Isaia_Gasparotto,male,no
Alessandro_Ghinami,male,no
Antonino_Mannino,male,no
Agostino_Marianetti,male,no
Ettore_Masina,male,no
Altero_Matteoli,male,no
Luigi_Durand_De_La_Penne,male,no
Antonio_Montessoro,male,no
Giovanni_Negri,male,no
Dante_Oreste_Orsenigo,male,no
Ermenegildo_Palmieri,male,no
Santino_Picchetti,male,no
Gian_Gaetano_Poli,male,no
Enzo_Polidori,male,no
Alberto_Provantini,male,no
Carmelo_Pujia,male,no
Giovanni_Battista_Rabino,male,no
Silvano_Ridi,male,no
Luciano_Righi,male,no
Luigi_Rinaldi,male,no
Rolando_Rocchi,male,no
Gianni_Wilmer_Ronzani,male,no
Francesco_Rutelli,male,no
Francesco_Sama',male,no
Mauro_Sanguineti,male,no
Benedetto_Sannella,male,no
Giulio_Santarelli,male,no
Massimo_Serafini,male,no
Francesco_Tempestini,male,no
Mario_Toma,male,no
Giuseppe_Torelli,male,no
Saverio_Zavettieri,male,no
Mario_Cavagna,male,no
Giovanni_Battista_Columbu,male,no
Alberto_Ferrandi,male,no
Flavio_Albizzati,male,no
Torquato_Baglioni,male,no
Giacomo_Bergamonti,male,no
Giuseppe_Berti,male,no
Mario_Bettinotti,male,no
Vincenzo_Cecconi,male,no
Giuseppe_Chiostergi,male,no
Antonio_Da_Villa,male,no
Alberto_De_Martino,male,no
Giuseppe_Di_Vittorio,male,no
Luigi_Faccio,male,no
Vannuccio_Faralli,male,no
Giuseppe_Gatti,male,no
Claudio_Donelli,male,no
Elio_Giovannini,male,no
Bernardino_Alvaro_Jovannitti,male,no
Pasquale_Lops,male,no
Francesco_Dulbecco,male,no
Enrico_Marrucci,male,no
Lamberto_Martellotti,male,no
Luigi_Memmi,male,no
Valentino_Pasqualin,male,no
Attilio_Esposto,male,no
Franco_Evangelisti,male,no
Guido_Pollice,male,no
Adelmo_Riccardi,male,no
Federico_Ricotti,male,no
Luigi_Sandirocco,male,no
Ivo_Faenzi,male,no
Bernardo_Sanlorenzo,male,no
Edmondo_Sastro,male,no
Giampaolo_Sodano,male,no
Girolamo_Federici,male,no
Eugenio_Sarli,male,no
Nicola_Manca,male,no
Roberto_Barontini,male,no
Vito_Angelini,male,no
Paolo_Micolini,male,no
Ettore_Palmiro_Pedroni,male,no
Attilio_Ferrari,male,no
Angelo_Tansini,male,no
Mario_Ferri,male,no
Nicola_Crapsi,male,no
Renato_Finelli,male,no
Augusto_De_Marsanich,male,no
Celestino_Ferrario,male,no
Guglielmo_Giannini,male,no
Giuseppe_Giulietti,male,no
Pietro_Grammatico,male,no
Candido_Grassi,male,no
Giuseppe_Imperiale,male,no
Marino_Magnani,male,no
Aurelio_Natoli_Lamantea,male,no
Umberto_Pistoia,male,no
Alfredo_Proia,male,no
Gioacchino_Quarello,male,no
Giuseppe_Giovanni_Battista_Raimondi,male,no
Ettore_Santi,male,no
Albino_Ottavio_Stella,male,no
Tullio_Tomba,male,no
Oliviero_Zuccarini,male,no
Leone_Azzali,male,no
Gaetano_Barbareschi,male,no
Ilio_Barontini,male,no
Roberto_Bencivenga,male,no
Alberto_Bergamini,male,no
Aladino_Bibolotti,male,no
Renato_Bitossi,male,no
Severino_Bolognesi,male,no
Ilio_Bosi,male,no
Emilio_Canevari,male,no
Giovanni_Ernesto_Caporali,male,no
Luigi_Carmagnola,male,no
Gaetano_Chiarini,male,no
Alfeo_Corassori,male,no
Luigi_Corazzin,male,no
Benedetto_Croce,male,no
Antonino_D'agata,male,no
Lodovico_D'aragona,male,no
Abdon_Maltagliati,male,no
Paolo_De_Michelis,male,no
Cipriano_Facchinetti,male,no
Silvio_Fantuzzi,male,no
Giovanni_Farina,male,no
Armando_Fedeli,male,no
Umberto_Fiore,male,no
Vittorio_Flecchia,male,no
Galliano_Gervasi,male,no
Guido_Giacometti,male,no
Achille_Grandi,male,no
Ruggero_Grieco,male,no
Virgilio_Mario_Luisetti,male,no
Francesco_Mariani,male,no
Mario_Marina,male,no
Cesare_Massini,male,no
Nino_Mazzoni,male,no
Riccardo_Momigliano,male,no
Piero_Montagnani_Marelli,male,no
Antonio_Negro,male,no
Raffaele_Pastore,male,no
Giacomo_Pellegrini,male,no
Pier_Carlo_Restagno,male,no
Giuseppe_Rossi,male,no
Giovanni_Roveda,male,no
Pietro_Secchia,male,no
Nicola_Siles,male,no
Velio_Spano,male,no
Tommaso_Angelo_Tonello,male,no
Giovanni_Uberti,male,no
Giuseppe_Vilardi,male,no
Michelangelo_Agrusti,male,no
Custode_Fioriello,male,no
Sergio_Flamigni,male,no
Michele_Magno,male,no
Domenico_Marzi,male,no
Luigi_Masini,male,no
Mario_Foscarini,male,no
Enrico_Mattei,male,no
Lionello_Matteucci,male,no
Giovanni_Messe,male,no
Arturo_Michelini,male,no
Roberto_Mieville,male,no
Nicola_Musto,male,no
Edoardo_Origlia,male,no
Primo_Romolo_Palenzona,male,no
Enrico_Parri,male,no
Mario_Roveda,male,no
Tomaso_Smith,male,no
Eugenio_Spiazzi,male,no
Umberto_Tomba,male,no
Angelo_Visentin,male,no
Francesco_Froio,male,no
Giovanni_Furia,male,no
Carlo_Alberto_Galluzzi,male,no
Pietro_Gambolato,male,no
Mario_Garbi,male,no
Mario_Gargano,male,no
Eraldo_Gastone,male,no
Luigi_Baruffi,male,no
